unit,tech,ave_marg_damages_isrm_LePeule,longitude,latitude,fuel,status,node,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing NG-CC 793,NG-CC,12.27134763,-88.25614,41.48064,Gas,Existing,3,PJM_COMD,38392.24943062575,7005287.300719011,70723055.28264236,SO X5
Existing NG-CC 794,NG-CC,13.75738347,-88.25838,41.48058,Gas,Existing,3,PJM_COMD,59767.06332828203,10882120.582438653,109766758.54161756,SO X5
Existing NG-CC 795,NG-CC,10.95323383,-88.25748,41.4806,Gas,Existing,3,PJM_COMD,59767.06332828203,10882120.582438653,87393142.43070139,SO X5
Existing NG-CC 796,NG-CC,13.69802891,-88.25705,41.48061,Gas,Existing,3,PJM_COMD,59767.06332828203,10882120.582438653,109293183.19423619,SO X5
Existing NG-CC 797,NG-CC,12.27134763,-88.25614,41.48064,Gas,Existing,3,PJM_COMD,59767.06332828203,10882120.582438653,97910046.2831295,SO X5
Existing NG-CC 801,NG-CC,8.098491983,-89.6075,41.774885,Gas,Existing,3,PJM_COMD,115191.99422060228,21118200.418092404,113294379.3972003,SO X5
Existing NG-CC 802,NG-CC,8.229878788,-89.606175,41.774895,Gas,Existing,3,PJM_COMD,115191.99422060228,21118200.418092404,115132423.63614044,SO X5
Existing NG-CC 803,NG-CC,8.098491983,-89.6075,41.774885,Gas,Existing,3,PJM_COMD,92288.1461304475,16131252.823920773,85706603.6046021,SO X5
Existing NG-CC 804,NG-CC,8.229878788,-89.606175,41.774895,Gas,Existing,3,PJM_COMD,92288.1461304475,16131252.823920773,87097074.42789218,SO X5
Existing NG-CC 807,NG-CC,7.729298667,-90.27933,41.71217,Gas,Existing,3,PJM_COMD,87737.73807103593,15657314.912310665,88122188.49162847,SO X5
Existing NG-CC 808,NG-CC,11.75631665,-75.9375,40.42083,Gas,Existing,8,PJM_WMAC,26040.496808972857,3977709.150628863,38472207.21110685,SO X5
Existing NG-CC 809,NG-CC,11.77948633,-75.9375,40.42083,Gas,Existing,8,PJM_WMAC,26040.496808972857,3977709.150628863,38548029.32074483,SO X5
Existing NG-CC 810,NG-CC,11.76790149,-75.9375,40.42083,Gas,Existing,8,PJM_WMAC,54060.29322851996,8077727.466018596,69729466.0341047,SO X5
Existing NG-CC 830,NG-CC,13.44148982,-88.33022667,41.41324667,Gas,Existing,3,PJM_COMD,29279.704163979604,5244114.616239572,51787516.569197826,SO X5
Existing NG-CC 843,NG-CC,17.93124232,-75.33577,39.86248,Gas,Existing,5,PJM_EMAC,19389.701365504116,2793344.1734115193,41207629.54250712,SO X5
Existing NG-CC 844,NG-CC,18.15903418,-75.33577,39.86248,Gas,Existing,5,PJM_EMAC,19389.701365504116,2793344.1734115193,41731116.003297895,SO X5
Existing NG-CC 845,NG-CC,18.04513825,-75.33577,39.86248,Gas,Existing,5,PJM_EMAC,57404.72246480157,8359597.265598282,110482661.27636996,SO X5
Existing NG-CC 88,NG-CC,7.452279932,-76.6861,38.5444,Gas,Existing,7,PJM_SMAC,122079.60526259399,21938783.010171425,134506879.21942237,SO X5
Existing NG-CC 928,NG-CC,6.3125208,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,20245.913834639865,2932239.569173198,15228077.413002893,SO X5
Existing NG-CC 929,NG-CC,6.419729684,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,21449.6666664,3132688.333331999,16545379.576791082,SO X5
Existing NG-CC 930,NG-CC,6.360245321,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,22392.032137843213,3248280.1606892147,16996916.875845518,SO X5
Existing NG-CC 931,NG-CC,6.508559264,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,22392.032137843213,3248280.1606892147,17393266.329910845,SO X5
Existing NG-CC 932,NG-CC,6.366125242,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,101059.78654709349,15052545.903737986,60456421.20885428,SO X5
Existing NG-CC 933,NG-CC,6.434402293,-74.74249,40.14695,Gas,Existing,5,PJM_EMAC,101059.78654709349,15052545.903737986,61104819.72400156,SO X5
Existing NG-CC 936,NG-CC,14.81925424,-76.3658,40.3509,Gas,Existing,8,PJM_WMAC,63316.251078455476,9120984.421852272,98723395.23943655,SO X5
Existing NG-CC 947,NG-CC,8.825121559,-82.02727,40.09285,Gas,Existing,9,PJM_West,41755.571777111094,6610903.113832205,36453928.08255399,SO X5
Existing NG-CC 948,NG-CC,8.88857821,-82.02727,40.09285,Gas,Existing,9,PJM_West,41755.571777111094,6610903.113832205,36716048.45975771,SO X5
Existing NG-CC 949,NG-CC,8.856849885,-82.02727,40.09285,Gas,Existing,9,PJM_West,64808.8840075897,10310226.901577495,54598388.290825956,SO X5
Existing NG-CC 962,NG-CC,7.338844988,-81.6571,39.5798,Gas,Existing,9,PJM_West,13043.641813823155,1612871.3142691543,9738010.447098197,SO X5
Existing NG-CC 963,NG-CC,7.366743142,-81.6571,39.5798,Gas,Existing,9,PJM_West,13043.641813823155,1612871.3142691543,9775028.876503777,SO X5
Existing NG-CC 964,NG-CC,7.352794065,-81.6571,39.5798,Gas,Existing,9,PJM_West,51077.46677256117,7602277.333630802,40416039.65783008,SO X5
Existing NG-CC 974,NG-CC,1.375231631,-78.3801,37.8669,Gas,Existing,4,PJM_Dom,26300.7,4180607.999999998,4729966.923997013,SO X5
Existing NG-CC 975,NG-CC,1.766282398,-78.3801,37.8669,Gas,Existing,4,PJM_Dom,27086.039958196434,3830975.7876239456,5566886.308354532,SO X5
Existing NG-CC 976,NG-CC,1.436337517,-78.3801,37.8669,Gas,Existing,4,PJM_Dom,27783.063858799855,4239813.985877997,5010096.733783042,SO X5
Existing NG-CC 977,NG-CC,1.525950515,-78.3801,37.8669,Gas,Existing,4,PJM_Dom,189602.6231240446,28759432.005035676,27525474.338115957,SO X5
