unit,ave_marg_damages_isrm_LePeule,node,tech,longitude,zone,latitude,status,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Oil 15,133.6953449,1,Oil,-67.0033,ME,44.9136,Existing,Oil,79.99999999999773,10000.000045999739,745590.032574705,SO X5
Existing Oil 150,133.6953449,6,Oil,-72.1022,CT,41.4711,Existing,Oil,270.40000000000003,31512.00017836001,2274239.6883112253,SO X5
Existing Oil 151,133.6953449,6,Oil,-72.02,CT,41.3367,Existing,Oil,135.20000000000002,15756.000089180005,1137119.8441556126,SO X5
Existing Oil 152,133.6953449,6,Oil,-71.9825,CT,41.6041,Existing,Oil,67.60000000000001,7878.000044590002,568559.9220778063,SO X5
Existing Oil 153,133.6953449,6,Oil,-72.1175,CT,41.5694,Existing,Oil,135.20000000000002,15756.000089180005,1137119.8441556126,SO X5
Existing Oil 154,133.6953449,6,Oil,-72.2322,CT,41.5683,Existing,Oil,135.20000000000002,15756.000089180005,1137119.8441556126,SO X5
Existing Oil 155,133.6953449,6,Oil,-72.0411,CT,41.3469,Existing,Oil,135.20000000000002,15756.000089180005,1137119.8441556126,SO X5
Existing Oil 156,133.6953449,6,Oil,-72.0833,CT,41.5256,Existing,Oil,52.0,6060.000034300001,437353.7862136971,SO X5
Existing Oil 158,133.6953449,6,Oil,-73.3928,CT,41.1117,Existing,Oil,156.0,18180.000102900005,1312061.3586410913,SO X5
Existing Oil 16,133.6953449,1,Oil,-70.2544,ME,43.6436,Existing,Oil,1295.0,160125.000762125,11765880.047094766,SO X5
Existing Oil 17,44.16033273,1,Oil,-70.1567,ME,43.7508,Existing,Oil,15536.801940048812,1953937.6428988534,47790087.74392482,SO X5
Existing Oil 172,133.6953449,6,Oil,-72.768611,CT,41.691389,Existing,Oil,26.0,3030.0000171500005,218676.89310684855,SO X5
Existing Oil 179,133.6953449,6,Oil,-72.756389,CT,41.483611,Existing,Oil,75.39999999999999,8787.000049735001,634162.9900098607,SO X5
Existing Oil 18,133.6953449,8,Oil,-71.3983,SEMA,42.2672,Existing,Oil,848.1054481876922,97532.1271140558,7036694.79101202,SO X5
Existing Oil 181,133.6953449,6,Oil,-72.093611,CT,41.542778,Existing,Oil,270.40000000000003,31512.00017836001,2274239.6883112253,SO X5
Existing Oil 182,133.6953449,8,Oil,-71.436065,SEMA,42.297949,Existing,Oil,42.0,4830.000028350001,345715.99821332004,SO X5
Existing Oil 2,151.8447747,6,Oil,-73.5989,CT,41.0289,Existing,Oil,2620.9489882901566,301409.13542250864,25300900.655749444,SO X5
Existing Oil 23,440.3672816,8,Oil,-71.446441,SEMA,42.140028,Existing,Oil,2031.8280694984242,233660.22936380276,54209535.84854741,SO X5
Existing Oil 26,133.6953449,8,Oil,-70.608273,SEMA,41.425786,Existing,Oil,170.1,19561.5001148175,1400149.7927639459,SO X5
Existing Oil 27,7.809595005,8,Oil,-70.5097,SEMA,41.7694,Existing,Oil,9397.826794189725,1080750.0876753516,3888288.3201036556,SO X5
Existing Oil 3,21.94525142,6,Oil,-73.108976,CT,41.209797,Existing,Oil,4846.746051838787,557375.7992330143,6663925.631931249,SO X5
Existing Oil 30,133.6953449,8,Oil,-71.1931,SEMA,41.7103,Existing,Oil,4591.160378166036,527983.4465881275,35280183.5291976,SO X5
Existing Oil 31,92.97915266,4,Oil,-73.2058,WCMA,42.4433,Existing,Oil,548.5999999999968,63933.00036186463,3208888.658905405,SO X5
Existing Oil 35,46.07783098,4,Oil,-73.235486,WCMA,42.336215,Existing,Oil,530.4,61812.00034986,1537477.6236064848,SO X5
Existing Oil 37,34.13986798,8,Oil,-70.9672,SEMA,42.235,Existing,Oil,56.7,6520.500038272501,119178.74206948915,SO X5
Existing Oil 4,131.7203012,6,Oil,-72.1019,CT,41.4281,Existing,Oil,5450.964555115838,626860.9275177226,42612734.531360395,SO X5
Existing Oil 40,133.6953449,8,Oil,-70.8697,SEMA,42.6986,Existing,Oil,50.4,5796.00003402,414859.19785598404,SO X5
Existing Oil 43,133.6953449,2,Oil,-71.494398,NH,44.595117,Existing,Oil,687.4970638885522,85682.04530058752,6338183.690816967,SO X5
Existing Oil 45,105.4654119,2,Oil,-71.4692,NH,43.1411,Existing,Oil,1360.6966800984992,168384.11901075768,9768714.637641072,SO X5
Existing Oil 47,20.39510344,2,Oil,-70.7842,NH,43.0978,Existing,Oil,803.3087125589046,99920.85091346012,1125712.5105426584,SO X5
Existing Oil 48,133.6953449,2,Oil,-71.2069,NH,43.8478,Existing,Oil,706.8000000000001,87978.00041013001,6501185.257874998,SO X5
Existing Oil 5,242.6216617,6,Oil,-72.041829,CT,41.555425,Existing,Oil,481.0,56055.000317275015,7341552.524377176,SO X5
Existing Oil 50,133.6953449,3,Oil,-72.4203,VT,43.4011,Existing,Oil,382.79999999999995,45606.000242550006,3299908.0370491976,SO X5
Existing Oil 51,133.6953449,3,Oil,-72.9923,VT,43.603,Existing,Oil,382.79999999999995,45606.000242550006,3299908.0370491976,SO X5
Existing Oil 52,133.6953449,3,Oil,-72.6027,VT,44.251,Existing,Oil,1128.6,133133.000728365,9483483.69009702,SO X5
Existing Oil 53,133.6953449,3,Oil,-73.1703,VT,44.4906,Existing,Oil,508.97774124525085,60539.976895517946,4343474.983559609,SO X5
Existing Oil 54,133.6953449,3,Oil,-73.1164,VT,44.4821,Existing,Oil,232.0,27640.000147000006,1999944.2648783016,SO X5
Existing Oil 55,133.6953449,3,Oil,-72.055357,VT,44.887379,Existing,Oil,81.19999999999999,9674.00005145,699980.4927074055,SO X5
Existing Oil 56,133.6953449,3,Oil,-73.2239,VT,44.4814,Existing,Oil,688.5,81217.50044433751,5785378.806159666,SO X5
Existing Oil 57,133.6953449,8,Oil,-70.620089,SEMA,41.392486,Existing,Oil,113.4,13041.000076545002,933433.195175964,SO X5
Existing Oil 58,220.9678966,4,Oil,-72.5106,WCMA,42.1978,Existing,Oil,5914.429407580128,696159.3857039547,80889994.02255698,SO X5
Existing Oil 6,206.9482785,6,Oil,-73.116267,CT,41.798943,Existing,Oil,545.0,62675.00036787501,7025942.881858929,SO X5
Existing Oil 60,133.6953449,4,Oil,-71.7172,WCMA,42.2747,Existing,Oil,364.0,42420.00024010001,3061476.5034958795,SO X5
Existing Oil 61,49.37634365,6,Oil,-72.904323,CT,41.283997,Existing,Oil,5961.2201718462,685540.3237861367,16845309.40724123,SO X5
Existing Oil 63,133.6953449,8,Oil,-70.8583,SEMA,42.5131,Existing,Oil,113.4,13041.000076545002,933433.195175964,SO X5
Existing Oil 65,133.6953449,3,Oil,-73.0631,VT,43.7089,Existing,Oil,266.79999999999995,31786.00016905,2299935.9046100467,SO X5
Existing Oil 66,133.6953449,4,Oil,-72.5911,WCMA,42.1483,Existing,Oil,212.6970244598975,24868.038930775798,1788479.9176154095,SO X5
Existing Oil 67,13.74748878,2,Oil,-70.790833,NH,43.1,Existing,Oil,10392.189416719255,1308050.7632089162,9854047.09424289,SO X5
Existing Oil 68,133.6953449,8,Oil,-71.56,SEMA,42.388611,Existing,Oil,51.900000000000006,5968.500035032501,656484.2185873847,SO X5
Existing Oil 7,19.18844466,6,Oil,-72.579075,CT,41.554944,Existing,Oil,5913.522539560109,680055.0960410404,6702994.672975163,SO X5
Existing Oil 73,535.74911,8,Oil,-71.031407,SEMA,42.339387,Existing,Oil,1126.8961551859013,129593.05860703357,37101576.94710055,SO X5
Existing Oil 82,133.6953449,8,Oil,-70.962778,SEMA,42.353333,Existing,Oil,936.0,107640.00063180001,7641500.08606781,SO X5
Existing Oil 90,133.6953449,1,Oil,-69.2019,ME,44.3331,Existing,Oil,80.0,10000.000046000001,745590.032574724,SO X5
Existing Oil 93,133.6953449,7,Oil,-71.458415,RI,41.744973,Existing,Oil,230.0,26450.000155250007,1905342.4044900993,SO X5
New NG-CT 1,28.317600000000002,1,NG-CT,-69.233333,ME,45.253333,New,Gas,121447.24952639845,20316773.34891415,227674554.89944378,SO X5
New NG-CT 2,28.317600000000002,2,NG-CT,-71.577222,NH,43.685,New,Gas,96993.61538212735,16194613.938932898,181480664.12878186,SO X5
New NG-CT 3,28.317600000000002,3,NG-CT,-72.671667,VT,43.926667,New,Gas,65816.3384857639,11168446.23674394,125156243.17898616,SO X5
New NG-CT 4,28.317600000000002,4,NG-CT,-72.506761,WCMA,42.395356,New,Gas,119911.29500992944,19972292.09111152,223814216.66096035,SO X5
New NG-CT 5,28.317600000000002,5,NG-CT,-71.361273,NEMA,42.498045,New,Gas,283736.67160017474,46919505.188667834,535067583.0647853,SO X5
New NG-CT 6,28.317600000000002,6,NG-CT,-72.7137063,CT,41.6184324,New,Gas,45292.942053399835,7607619.511579473,85252778.89344335,SO X5
