zone,tech,ave_marg_damages_isrm_LePeule,unit,longitude,node,status,latitude,fuel,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
CT,Oil,133.6953449,Existing Oil 158,-73.3928,6,Existing,41.1117,Oil,-126.0,-12449.999999999978,-875372.8091127555,MO-SO
CT,Oil,133.6953449,Existing Oil 172,-72.768611,6,Existing,41.691389,Oil,-21.0,-2074.999999999997,-145895.46818545926,MO-SO
CT,Oil,133.6953449,Existing Oil 179,-72.756389,6,Existing,41.483611,Oil,-60.9,-6017.49999999999,-423096.8577378319,MO-SO
CT,Oil,133.6953449,Existing Oil 181,-72.093611,6,Existing,41.542778,Oil,-218.4,-21579.999999999967,-1517312.8691287765,MO-SO
CT,Oil,145.0566647,Existing Oil 14,-72.064935,6,Existing,41.52679,Oil,-399.0,-39424.999999999935,-3007577.343006846,MO-SO
CT,Oil,151.8447747,Existing Oil 2,-73.5989,6,Existing,41.0289,Oil,-1464.2065202762203,-140720.2534668596,-12103052.141380297,MO-SO
CT,Oil,206.9482785,Existing Oil 6,-73.116267,6,Existing,41.798943,Oil,-356.6963908455621,-36135.6751761005,-4132648.223144913,MO-SO
CT,Oil,242.6216617,Existing Oil 5,-72.041829,6,Existing,41.555425,Oil,-388.5,-38387.49999999994,-4898090.637444691,MO-SO
CT,Oil,339.9972675,Existing Oil 10,-73.120886,6,Existing,41.776109,Oil,-340.2821516801464,-34658.3936512131,-6408082.62972033,MO-SO
ME,Oil,44.16033273,Existing Oil 17,-70.1567,1,Existing,43.7508,Oil,-831.3057884144159,-74817.5209572973,-1307491.7841888252,MO-SO
ME,Oil,133.6953449,Existing Oil 15,-67.0033,1,Existing,44.9136,Oil,-23.99999999999909,-3269.999999999746,-224779.46847829124,MO-SO
ME,Oil,133.6953449,Existing Oil 16,-70.2544,1,Existing,43.6436,Oil,-225.83827373031795,-36205.5252758374,-2518661.9035919677,MO-SO
ME,Oil,133.6953449,Existing Oil 90,-69.2019,1,Existing,44.3331,Oil,-24.0,-3269.999999999996,-224779.4684783063,MO-SO
NEMA,NG-CT,28.317600000000002,New NG-CT 5,-71.361273,5,New,42.498045,Gas,-98378.12077817373,-33572544.095794916,-376221848.94141066,MO-SO
NH,Coal,20.39510344,Existing Coal 46,-70.7842,2,Existing,43.0978,Coal,-39333.58786659055,-13946708.662080193,-167184967.1155439,MO-SO
NH,Coal,105.4654119,Existing Coal 44,-71.4692,2,Existing,43.1411,Coal,-184048.0569745405,-64748189.67393207,-4011537810.3144913,MO-SO
NH,Oil,13.74748878,Existing Oil 67,-70.790833,2,Existing,43.1,Oil,-1432.8271097828604,-202954.43988045718,-1530962.9538046385,MO-SO
NH,Oil,20.39510344,Existing Oil 47,-70.7842,2,Existing,43.0978,Oil,-138.1459207702234,-24199.132869320078,-278670.01951697934,MO-SO
NH,Oil,105.4654119,Existing Oil 45,-71.4692,2,Existing,43.1411,Oil,-148.8,-27155.999999999975,-1585674.9072553911,MO-SO
NH,Oil,133.6953449,Existing Oil 112,-72.286735,2,Existing,43.701916,Oil,-84.0,-11444.999999999985,-786728.1396740722,MO-SO
NH,Oil,133.6953449,Existing Oil 113,-71.87268,2,Existing,42.971653,Oil,-25.200000000000003,-3433.4999999999955,-236018.44190222162,MO-SO
NH,Oil,133.6953449,Existing Oil 116,-71.6881,2,Existing,43.7644,Oil,-33.599999999999994,-4577.999999999994,-314691.2558696288,MO-SO
NH,Oil,133.6953449,Existing Oil 43,-71.494398,2,Existing,44.595117,Oil,-214.47670629138565,-29292.903566224253,-2015761.747268539,MO-SO
NH,Oil,133.6953449,Existing Oil 48,-71.2069,2,Existing,43.8478,Oil,-204.60000000000002,-28736.999999999967,-2001881.4199505497,MO-SO
RI,NG-CT,28.317600000000002,New NG-CT 7,-71.576667,7,New,41.671667,Gas,-37181.9407729715,-12581047.19759402,-140986182.7805547,MO-SO
RI,Oil,133.6953449,Existing Oil 93,-71.458415,7,Existing,41.744973,Oil,-210.0,-20749.999999999967,-1458954.6818545926,MO-SO
SEMA,Coal,60.37583423,Existing Coal 29,-71.1931,8,Existing,41.7103,Coal,-457227.04370662494,-162541218.91450188,-5757269938.25017,MO-SO
SEMA,NG-CT,28.317600000000002,New NG-CT 8,-70.780095,8,New,41.850783,Gas,-38682.791230251176,-13310567.70282307,-149161361.65692478,MO-SO
SEMA,Oil,7.809595005,Existing Oil 27,-70.5097,8,Existing,41.7694,Oil,-4867.512226865139,-367422.2214446874,-1441147.7773800748,MO-SO
SEMA,Oil,34.13986798,Existing Oil 37,-70.9672,8,Existing,42.235,Oil,-59.400000000000006,-5845.499999999991,-107750.88000607722,MO-SO
SEMA,Oil,133.6953449,Existing Oil 105,-71.0559,8,Existing,42.3436,Oil,-50.0,-4869.999999999992,-341136.04053868126,MO-SO
SEMA,Oil,133.6953449,Existing Oil 120,-71.308111,8,Existing,42.293927,Oil,-72.5,-7061.499999999988,-494647.2587810878,MO-SO
SEMA,Oil,133.6953449,Existing Oil 18,-71.3983,8,Existing,42.2672,Oil,-843.8673870826316,-75948.06483743672,-5553051.1165452115,MO-SO
SEMA,Oil,133.6953449,Existing Oil 182,-71.436065,8,Existing,42.297949,Oil,-50.0,-4869.999999999992,-341136.04053868126,MO-SO
SEMA,Oil,133.6953449,Existing Oil 26,-70.608273,8,Existing,41.425786,Oil,-202.5,-19723.499999999964,-1381600.9641816588,MO-SO
SEMA,Oil,133.6953449,Existing Oil 30,-71.1931,8,Existing,41.7103,Oil,-5024.704090685561,-452223.3681616997,-28375293.595458303,MO-SO
SEMA,Oil,133.6953449,Existing Oil 40,-70.8697,8,Existing,42.6986,Oil,-60.0,-5843.999999999991,-409363.24864641746,MO-SO
SEMA,Oil,133.6953449,Existing Oil 57,-70.620089,8,Existing,41.392486,Oil,-135.0,-13148.999999999978,-921067.3094544393,MO-SO
SEMA,Oil,133.6953449,Existing Oil 63,-70.8583,8,Existing,42.5131,Oil,-135.0,-13148.999999999978,-921067.3094544393,MO-SO
SEMA,Oil,133.6953449,Existing Oil 68,-71.56,8,Existing,42.388611,Oil,-69.2,-6227.999999999989,-685027.0066790676,MO-SO
SEMA,Oil,133.6953449,Existing Oil 82,-70.962778,8,Existing,42.353333,Oil,-939.783371884296,-84580.50346958649,-6159016.578616986,MO-SO
SEMA,Oil,440.3672816,Existing Oil 23,-71.446441,8,Existing,42.140028,Oil,-2429.177977574738,-230190.6106230526,-54473073.50544972,MO-SO
SEMA,Oil,535.74911,Existing Oil 73,-71.031407,8,Existing,42.339387,Oil,-1212.3693088515079,-109544.90443863552,-32153190.26303719,MO-SO
VT,Oil,133.6953449,Existing Oil 50,-72.4203,3,Existing,43.4011,Oil,-197.99999999999977,-22703.9999999999,-1603634.4065403761,MO-SO
VT,Oil,133.6953449,Existing Oil 51,-72.9923,3,Existing,43.603,Oil,-198.0,-22703.999999999964,-1603634.4065403794,MO-SO
VT,Oil,133.6953449,Existing Oil 52,-72.6027,3,Existing,44.251,Oil,-390.895167646043,-48505.36089889861,-3454196.6111882506,MO-SO
VT,Oil,133.6953449,Existing Oil 53,-73.1703,3,Existing,44.4906,Oil,-270.0,-30959.999999999956,-2186774.1907368815,MO-SO
VT,Oil,133.6953449,Existing Oil 54,-73.1164,3,Existing,44.4821,Oil,-120.0,-13759.99999999998,-971899.6403275027,MO-SO
VT,Oil,133.6953449,Existing Oil 55,-72.055357,3,Existing,44.887379,Oil,-42.0,-4815.999999999993,-340164.87411462597,MO-SO
VT,Oil,133.6953449,Existing Oil 56,-73.2239,3,Existing,44.4814,Oil,-280.5,-34679.99999999995,-2481229.5119309174,MO-SO
VT,Oil,133.6953449,Existing Oil 65,-73.0631,3,Existing,43.7089,Oil,-138.0,-15823.999999999975,-1117684.586376628,MO-SO
WCMA,NG-CT,28.317600000000002,New NG-CT 4,-72.506761,4,New,42.395356,Gas,-37635.10910317088,-12778061.84686345,-143193975.416263,MO-SO
WCMA,Oil,46.07783098,Existing Oil 35,-73.235486,4,Existing,42.336215,Oil,-268.14866446514543,-27907.379801863044,-744275.370015275,MO-SO
WCMA,Oil,92.97915266,Existing Oil 31,-73.2058,4,Existing,42.4433,Oil,-260.6053651686018,-27357.98286517412,-1497936.1846612974,MO-SO
WCMA,Oil,133.6953449,Existing Oil 60,-71.7172,4,Existing,42.2747,Oil,-265.6927972856393,-29035.519253550763,-2004934.4456548095,MO-SO
WCMA,Oil,133.6953449,Existing Oil 66,-72.5911,4,Existing,42.1483,Oil,-153.9,-16847.999999999975,-1162583.8210031714,MO-SO
WCMA,Oil,220.9678966,Existing Oil 58,-72.5106,4,Existing,42.1978,Oil,-3784.136433160191,-340572.27898441657,-35906421.21404342,MO-SO
