node,zone,unit,status,tech,latitude,longitude,fuel,ave_marg_damages_isrm_LePeule,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
4,PJM_Dom,Existing NG-CT 566,Existing,NG-CT,38.07194,-77.51309,Gas,5.064132646,453.0,60400.00022272501,251642.97834446258,MO OPOI X5
4,PJM_Dom,Existing NG-CT 567,Existing,NG-CT,38.07194,-77.51309,Gas,5.234635107,1642.885787428435,215769.05759913035,748368.8498885408,MO OPOI X5
4,PJM_Dom,Existing NG-CT 568,Existing,NG-CT,38.07194,-77.51309,Gas,5.437898621,1373.3333332,182000.00066633333,658973.2497164513,MO OPOI X5
4,PJM_Dom,Existing NG-CT 569,Existing,NG-CT,38.07194,-77.51309,Gas,5.057132318,1693.3333332,222000.00085033334,743226.2842067918,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1035,Existing,NG-CC,39.806687,-75.422206,Gas,7.859726755,18480.0,2778160.0001628003,17964184.45643563,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1036,Existing,NG-CC,39.806687,-75.422206,Gas,8.166343395,19000.8,2870217.0003060224,19283469.4537077,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1037,Existing,NG-CC,39.806687,-75.422206,Gas,8.29786429,18229.158954359224,2757240.593545308,18822781.256877955,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1038,Existing,NG-CC,39.806687,-75.422206,Gas,8.107978147,62164.556519281905,9354351.739488676,55669941.26073862,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1118,Existing,NG-CC,39.841001,-75.220256,Gas,12.59769993,57372.5,8104677.5019268505,65481164.37378247,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1119,Existing,NG-CC,39.841001,-75.220256,Gas,12.56593167,57676.67657778033,8136924.344996793,65550782.966979966,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1121,Existing,NG-CC,39.18717,-75.49942,Gas,1.480886124,68603.9690306172,10960209.00437261,10657403.484473439,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 1122,Existing,NG-CC,39.18717,-75.49942,Gas,1.480886124,57886.64883258048,9476133.6610638,8254447.718911231,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 125,Existing,NG-CC,40.8396,-74.025002,Gas,95.1056135,2659.4999999999054,341302.50079340517,26704744.403445914,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 126,Existing,NG-CC,40.8396,-74.025002,Gas,94.45324995,2893.3274169539486,370530.92804711184,28792818.104423005,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 127,Existing,NG-CC,40.8396,-74.025002,Gas,94.77943172,7091.9999999999945,921960.0024290094,64009163.520418674,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 146,Existing,NG-CC,40.624411,-74.211871,Gas,19.86409061,44267.940132595446,5535538.395735103,71494828.98395976,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 147,Existing,NG-CC,40.624411,-74.211871,Gas,19.85026591,10921.400000000001,1323749.0008520575,21617963.432940107,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 148,Existing,NG-CC,40.624411,-74.211871,Gas,19.8779153,10835.401473571294,1317299.1114344033,21542596.067982644,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 149,Existing,NG-CC,40.624411,-74.211871,Gas,19.43511979,45482.91365106633,5708150.844826912,71889641.8273406,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 150,Existing,NG-CC,40.624411,-74.211871,Gas,19.3843234,11674.6,1411308.5006637576,22506885.82969885,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 151,Existing,NG-CC,40.624411,-74.211871,Gas,19.48591618,10921.400000000001,1323749.0008520575,21221167.784173828,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 453,Existing,NG-CC,39.74564767,-75.50444433,Gas,18.39028323,11968.0,1463275.000724625,22138957.908858392,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 457,Existing,NG-CC,39.74564767,-75.506389,Gas,10.12751862,37212.99999999985,5462270.00066382,40357611.13823999,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 633,Existing,NG-CC,39.918222,-75.118141,Gas,40.42742977,2999.2000000000003,384028.00056235003,12772673.95576775,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 722,Existing,NG-CC,40.062369,-74.168576,Gas,39.31088066,3666.2000000000003,469433.00068741257,15182007.223647408,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 843,Existing,NG-CC,39.86248,-75.33577,Gas,17.93124232,10991.5,1351109.000684855,19931664.59819781,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 844,Existing,NG-CC,39.86248,-75.33577,Gas,18.15903418,10906.159175991204,1337027.7647084694,19974502.705313187,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 845,Existing,NG-CC,39.86248,-75.33577,Gas,18.04513825,29121.189105673715,3631165.203750151,47984577.80997499,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 928,Existing,NG-CC,40.14695,-74.74249,Gas,6.3125208,20652.178270954362,3240621.2195769353,16829604.005327627,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 929,Existing,NG-CC,40.14695,-74.74249,Gas,6.419729684,20628.0,3182060.0002483,16806137.393257383,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 930,Existing,NG-CC,40.14695,-74.74249,Gas,6.360245321,21941.625883916255,3413512.2585237287,17861508.62692124,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 931,Existing,NG-CC,40.14695,-74.74249,Gas,6.508559264,21035.396480107946,3174925.75066086,17000482.23279468,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 932,Existing,NG-CC,40.14695,-74.74249,Gas,6.366125242,85799.49305968484,13246481.772791961,54938877.1207951,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 933,Existing,NG-CC,40.14695,-74.74249,Gas,6.434402293,84821.01228337106,13018234.152514216,54683009.928895056,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 991,Existing,NG-CC,39.73872,-76.30826,Gas,31.46051817,12091.0,1538495.0011130502,34929396.59577464,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 992,Existing,NG-CC,39.73872,-76.30826,Gas,26.96637334,14396.0,1779980.00068015,34846060.740655735,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 993,Existing,NG-CC,39.73872,-76.30826,Gas,31.14855732,14396.0,1779980.00068015,40250296.42182195,MO OPOI X5
5,PJM_EMAC,Existing NG-CC 994,Existing,NG-CC,39.73872,-76.30826,Gas,29.85848294,34307.97479342561,4395367.013278477,82489000.90959124,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 1040,Existing,NG-CT,40.062369,-74.168576,Gas,18.91508727,309.9390918061793,38742.3866539874,472379.4855661953,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 1041,Existing,NG-CT,40.062369,-74.168576,Gas,18.56093291,325.6,40700.00018722001,486956.89611722995,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 136,Existing,NG-CT,40.73799,-74.097155,Gas,87.1882248,281.4,35175.000161805,1325425.2020513779,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 137,Existing,NG-CT,40.73799,-74.097155,Gas,85.9958989,281.4,35175.000161805,1307299.603089549,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 138,Existing,NG-CT,40.73799,-74.097155,Gas,84.45006042,281.4,35175.000161805,1283799.947208348,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 139,Existing,NG-CT,40.73799,-74.097155,Gas,84.30951116,281.4,35175.000161805,1281663.3337865127,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 140,Existing,NG-CT,40.73799,-74.097155,Gas,84.41651762,281.4,35175.000161805,1283290.0334835376,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 141,Existing,NG-CT,40.73799,-74.097155,Gas,84.76556683,281.4,35175.000161805,1288596.2387738894,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 157,Existing,NG-CT,39.489029,-75.035192,Gas,6.21194926,880.0,114125.00046475002,369498.039101058,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 407,Existing,NG-CT,39.375774,-74.96519,Gas,9.075311829,608.8333332,76850.00032262084,452348.3088724269,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 549,Existing,NG-CT,39.7197,-76.1604,Gas,12.00933098,499.84647729184246,62480.80994889205,529626.8806132746,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 550,Existing,NG-CT,39.7197,-76.1604,Gas,11.92481178,652.0,81500.0003749,713019.5488178366,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 551,Existing,NG-CT,39.7197,-76.1604,Gas,12.06153055,505.79999999999995,63225.000290835,536843.2942179197,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 552,Existing,NG-CT,39.7197,-76.1604,Gas,12.3790769,508.20000000000005,63525.000292215016,553591.2384138935,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 609,Existing,NG-CT,39.150556,-75.546944,Gas,7.915474544,88.0,11000.000050600001,71632.88579102165,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 952,Existing,NG-CT,37.9892,-75.5405,Gas,7.42920719,138.89999999999998,18520.000068292502,113194.74306788559,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 953,Existing,NG-CT,37.9892,-75.5405,Gas,8.098248727,93.6,11700.000053820002,77950.65680801538,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 955,Existing,NG-CT,37.9892,-75.5405,Gas,8.677263375,89.2,11150.00005129,79597.68785747241,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 956,Existing,NG-CT,37.9892,-75.5405,Gas,8.149516808,92.2,11525.000053015001,77270.83397904916,MO OPOI X5
5,PJM_EMAC,Existing NG-CT 957,Existing,NG-CT,37.9892,-75.5405,Gas,8.729224771,90.0,11250.000051750001,80792.49212045383,MO OPOI X5
6,PJM_PENE,Existing NG-CT 846,Existing,NG-CT,41.2908,-79.8061,Gas,13.23055649,53.5,6687.500030762501,72792.17769047258,MO OPOI X5
6,PJM_PENE,Existing NG-CT 847,Existing,NG-CT,41.2908,-79.8061,Gas,14.02616591,53.5,6687.500030762501,77169.47975759477,MO OPOI X5
6,PJM_PENE,Existing NG-CT 849,Existing,NG-CT,41.2908,-79.8061,Gas,4.256989655,160.5,21400.000078912504,74947.8490570737,MO OPOI X5
7,PJM_SMAC,Existing NG-CC 69,Existing,NG-CC,39.178421,-76.527476,Gas,55.72897316,9206.183065756879,1194213.9154239628,48921596.54899885,MO OPOI X5
7,PJM_SMAC,Existing NG-CC 88,Existing,NG-CC,38.5444,-76.6861,Gas,7.452279932,60228.602901093116,8920450.539492339,54691363.816399395,MO OPOI X5
8,PJM_WMAC,Existing NG-CC 1012,Existing,NG-CC,40.8022,-75.1072,Gas,9.956977323,18294.199999999997,2696980.0005657994,22092661.9720945,MO OPOI X5
