Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO,10,MFLR1,Offshore Storage,1,0.0
MO,10,MFLR1,Offshore Storage,2,0.0
MO,10,MFLR1,Offshore Storage,3,0.0
MO,10,MFLR1,Offshore Storage,4,0.0
MO,10,MFLR1,NG-CC-CCS,1,0.0
MO,10,MFLR1,NG-CC-CCS,2,0.0
MO,10,MFLR1,NG-CC-CCS,3,0.0
MO,10,MFLR1,NG-CC-CCS,4,0.0
MO,10,MFLR1,NG-CT,1,0.0
MO,10,MFLR1,NG-CT,2,0.0
MO,10,MFLR1,NG-CT,3,0.0
MO,10,MFLR1,NG-CT,4,0.0
MO,10,MFLR1,Solar PV,1,0.0
MO,10,MFLR1,Solar PV,2,0.0
MO,10,MFLR1,Solar PV,3,0.0
MO,10,MFLR1,Solar PV,4,0.0
MO,10,MFLR1,Wind,1,0.0
MO,10,MFLR1,Wind,2,0.0
MO,10,MFLR1,Wind,3,0.0
MO,10,MFLR1,Wind,4,0.0
MO,11,MFLR2,Offshore Storage,1,0.0
MO,11,MFLR2,Offshore Storage,2,0.0
MO,11,MFLR2,Offshore Storage,3,0.0
MO,11,MFLR2,Offshore Storage,4,0.0
MO,11,MFLR2,NG-CC-CCS,1,0.0
MO,11,MFLR2,NG-CC-CCS,2,0.0
MO,11,MFLR2,NG-CC-CCS,3,0.0
MO,11,MFLR2,NG-CC-CCS,4,0.0
MO,11,MFLR2,NG-CT,1,0.0
MO,11,MFLR2,NG-CT,2,0.0
MO,11,MFLR2,NG-CT,3,0.0
MO,11,MFLR2,NG-CT,4,0.0
MO,11,MFLR2,Solar PV,1,0.0
MO,11,MFLR2,Solar PV,2,0.0
MO,11,MFLR2,Solar PV,3,0.0
MO,11,MFLR2,Solar PV,4,0.0
MO,11,MFLR2,Wind,1,0.0
MO,11,MFLR2,Wind,2,0.0
MO,11,MFLR2,Wind,3,0.0
MO,11,MFLR2,Wind,4,0.0
MO,12,COMW,Offshore Storage,1,0.0
MO,12,COMW,Offshore Storage,2,0.0
MO,12,COMW,Offshore Storage,3,0.0
MO,12,COMW,Offshore Storage,4,0.0
MO,12,COMW,NG-CC-CCS,1,0.0
MO,12,COMW,NG-CC-CCS,2,0.0
MO,12,COMW,NG-CC-CCS,3,0.0
MO,12,COMW,NG-CC-CCS,4,0.0
MO,12,COMW,NG-CT,1,0.0
MO,12,COMW,NG-CT,2,0.0
MO,12,COMW,NG-CT,3,0.0
MO,12,COMW,NG-CT,4,0.0
MO,12,COMW,Solar PV,1,0.0
MO,12,COMW,Solar PV,2,0.0
MO,12,COMW,Solar PV,3,0.0
MO,12,COMW,Solar PV,4,0.0
MO,12,COMW,Wind,1,0.0
MO,12,COMW,Wind,2,0.0
MO,12,COMW,Wind,3,0.0
MO,12,COMW,Wind,4,0.0
MO,13,PKCTY,Offshore Storage,1,0.0
MO,13,PKCTY,Offshore Storage,2,0.0
MO,13,PKCTY,Offshore Storage,3,0.0
MO,13,PKCTY,Offshore Storage,4,0.0
MO,13,PKCTY,NG-CC-CCS,1,0.0
MO,13,PKCTY,NG-CC-CCS,2,0.0
MO,13,PKCTY,NG-CC-CCS,3,0.0
MO,13,PKCTY,NG-CC-CCS,4,0.0
MO,13,PKCTY,NG-CT,1,0.0
MO,13,PKCTY,NG-CT,2,0.0
MO,13,PKCTY,NG-CT,3,0.0
MO,13,PKCTY,NG-CT,4,0.0
MO,13,PKCTY,Solar PV,1,0.0
MO,13,PKCTY,Solar PV,2,0.0
MO,13,PKCTY,Solar PV,3,0.0
MO,13,PKCTY,Solar PV,4,0.0
MO,13,PKCTY,Wind,1,0.0
MO,13,PKCTY,Wind,2,0.0
MO,13,PKCTY,Wind,3,0.0
MO,13,PKCTY,Wind,4,0.0
MO,14,REV,Offshore Storage,1,0.0
MO,14,REV,Offshore Storage,2,0.0
MO,14,REV,Offshore Storage,3,0.0
MO,14,REV,Offshore Storage,4,0.0
MO,14,REV,NG-CC-CCS,1,0.0
MO,14,REV,NG-CC-CCS,2,0.0
MO,14,REV,NG-CC-CCS,3,0.0
MO,14,REV,NG-CC-CCS,4,0.0
MO,14,REV,NG-CT,1,0.0
MO,14,REV,NG-CT,2,0.0
MO,14,REV,NG-CT,3,0.0
MO,14,REV,NG-CT,4,0.0
MO,14,REV,Solar PV,1,0.0
MO,14,REV,Solar PV,2,0.0
MO,14,REV,Solar PV,3,0.0
MO,14,REV,Solar PV,4,0.0
MO,14,REV,Wind,1,0.0
MO,14,REV,Wind,2,0.0
MO,14,REV,Wind,3,0.0
MO,14,REV,Wind,4,0.0
MO,15,REV,Offshore Storage,1,0.0
MO,15,REV,Offshore Storage,2,0.0
MO,15,REV,Offshore Storage,3,0.0
MO,15,REV,Offshore Storage,4,0.0
MO,15,REV,NG-CC-CCS,1,0.0
MO,15,REV,NG-CC-CCS,2,0.0
MO,15,REV,NG-CC-CCS,3,0.0
MO,15,REV,NG-CC-CCS,4,0.0
MO,15,REV,NG-CT,1,0.0
MO,15,REV,NG-CT,2,0.0
MO,15,REV,NG-CT,3,0.0
MO,15,REV,NG-CT,4,0.0
MO,15,REV,Solar PV,1,0.0
MO,15,REV,Solar PV,2,0.0
MO,15,REV,Solar PV,3,0.0
MO,15,REV,Solar PV,4,0.0
MO,15,REV,Wind,1,0.0
MO,15,REV,Wind,2,0.0
MO,15,REV,Wind,3,0.0
MO,15,REV,Wind,4,0.0
MO EM190,1,ME,Battery,1,288.4121387634983
MO EM190,1,ME,Battery,2,529.8812406349615
MO EM190,1,ME,Battery,3,170.4478287807416
MO EM190,1,ME,Battery,4,0.0
MO EM190,1,ME,NG-CC-CCS,1,0.0
MO EM190,1,ME,NG-CC-CCS,2,0.0
MO EM190,1,ME,NG-CC-CCS,3,0.0
MO EM190,1,ME,NG-CC-CCS,4,0.0
MO EM190,1,ME,NG-CT,1,0.0
MO EM190,1,ME,NG-CT,2,0.0
MO EM190,1,ME,NG-CT,3,0.0
MO EM190,1,ME,NG-CT,4,0.0
MO EM190,1,ME,Solar PV,1,0.0
MO EM190,1,ME,Solar PV,2,0.0
MO EM190,1,ME,Solar PV,3,0.0
MO EM190,1,ME,Solar PV,4,0.0
MO EM190,1,ME,Wind,1,2532.291252242706
MO EM190,1,ME,Wind,2,2656.1107951301738
MO EM190,1,ME,Wind,3,0.0
MO EM190,1,ME,Wind,4,0.0
MO EM190,2,NH,Battery,1,0.0
MO EM190,2,NH,Battery,2,0.0
MO EM190,2,NH,Battery,3,0.0
MO EM190,2,NH,Battery,4,0.0
MO EM190,2,NH,NG-CC-CCS,1,0.0
