Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO X5,NOx,3,539370.8821243887,44.62057844949154
MO X5,NOx,4,776234.0641899947,108.13029233837604
MO X5,PM25,1,694.4292911091698,0.0
MO X5,PM25,2,809.5173931898827,16.57304833684214
MO X5,PM25,3,1086.8277916560849,56.50661709850413
MO X5,PM25,4,1676.8742236005176,141.47515738026374
MO X5,SO2,1,33563.75052750303,0.0
MO X5,SO2,2,39022.212274966674,16.262967224091476
MO X5,SO2,3,51037.73916946006,52.06208593297219
MO X5,SO2,4,77192.27122077168,129.98702471441112
SO,CO2,1,55563635.051824264,0.0
SO,CO2,2,50273495.113713115,-9.520867259993032
SO,CO2,3,61188424.21038573,10.123148266514999
SO,CO2,4,75288730.4516042,35.500008920190915
SO,NOx,1,686720.0004288211,0.0
SO,NOx,2,622186.5611702919,-9.397343781778808
SO,NOx,3,856789.0292357386,24.765410749755095
SO,NOx,4,1166316.3776640054,69.83870819776637
SO,PM25,1,2709.5372932900955,0.0
SO,PM25,2,2455.494344037874,-9.375879412375472
SO,PM25,3,3169.724248752248,16.983968318198116
SO,PM25,4,3858.6391727990417,42.40952439940889
SO,SO2,1,161220.03315859358,0.0
SO,SO2,2,145971.9603316708,-9.457926864413382
SO,SO2,3,179272.6856530387,11.197524365155395
SO,SO2,4,221154.9865182624,37.17587212050147
SO X5,CO2,1,56348019.50184633,0.0
SO X5,CO2,2,50409467.70974472,-10.539060369117358
SO X5,CO2,3,60642603.03916924,7.621534128954062
SO X5,CO2,4,71160724.62930755,26.28788954503692
SO X5,NOx,1,701625.5086161683,0.0
SO X5,NOx,2,630214.8129841299,-10.177893299929092
SO X5,NOx,3,862344.7078105968,22.9066927044056
SO X5,NOx,4,1110129.5673273304,58.22252094523527
SO X5,PM25,1,2781.094381066283,0.0
SO X5,PM25,2,2511.5225194423306,-9.693013781164716
SO X5,PM25,3,3214.525063009895,15.58489653908951
SO X5,PM25,4,3562.8667087177273,28.11024080929284
SO X5,SO2,1,164456.90373051952,0.0
SO X5,SO2,2,147861.84211510236,-10.090826982009808
SO X5,SO2,3,179692.16005975654,9.263981008788564
SO X5,SO2,4,207222.87675222912,26.004364700788894
