Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO OPOI X5,PM25,3,1905.4090877597616,81.88841748699565
MO OPOI X5,PM25,4,2520.90562110234,140.6430918178701
MO OPOI X5,SO2,1,48972.16540713679,0.0
MO OPOI X5,SO2,2,56270.90883433387,14.903860931037016
MO OPOI X5,SO2,3,85042.89252626988,73.65556907531895
MO OPOI X5,SO2,4,116149.1252108498,137.17375828744386
MO X5,CO2,1,20961729.160584413,0.0
MO X5,CO2,2,22531770.39403514,7.490036825792824
MO X5,CO2,3,31230783.596230634,48.989538777915975
MO X5,CO2,4,42304699.732798696,101.81874982120627
MO X5,NOx,1,513020.7956297273,0.0
MO X5,NOx,2,562599.7353408918,9.664118907754384
MO X5,NOx,3,784296.6267422712,52.87813543300051
MO X5,NOx,4,1078714.7964125783,110.26726510929599
MO X5,PM25,1,1061.3745694732784,0.0
MO X5,PM25,2,1277.9540424768272,20.405564560589518
MO X5,PM25,3,1866.1749760243076,75.82623794636632
MO X5,PM25,4,2492.3259739061896,134.82058507799374
MO X5,SO2,1,49359.83196654846,0.0
MO X5,SO2,2,57534.96403320275,16.56231745722846
MO X5,SO2,3,83345.2799290337,68.85243852839174
MO X5,SO2,4,115437.8517303818,133.87002575011786
SO,CO2,1,59949969.322824314,0.0
SO,CO2,2,50357844.10610667,-16.000217056100656
SO,CO2,3,57917502.75433823,-3.3902712402427886
SO,CO2,4,65140864.32129879,8.658711684274687
SO,NOx,1,721673.1373198121,0.0
SO,NOx,2,668745.0518382397,-7.334080034922675
SO,NOx,3,881387.8593653946,22.131171826450334
SO,NOx,4,1057745.242021957,46.568465323549
SO,PM25,1,2839.776164818333,0.0
SO,PM25,2,2497.0759299198476,-12.067860810445563
SO,PM25,3,3300.0357324090983,16.207600207821624
SO,PM25,4,3415.710655031594,20.280981907956274
SO,SO2,1,171846.93723427344,0.0
SO,SO2,2,145282.8751440052,-15.457978197222278
SO,SO2,3,177200.83287897255,3.1155025110516297
SO,SO2,4,191237.9961063564,11.28391298917813
SO X5,CO2,1,56468608.09889529,0.0
SO X5,CO2,2,51962368.10912663,-7.98007980270514
SO X5,CO2,3,59318413.98377529,5.04670821687165
SO X5,CO2,4,65672598.01468435,16.299303676247547
SO X5,NOx,1,707091.9173073506,0.0
SO X5,NOx,2,746946.1926765355,5.636364154882782
SO X5,NOx,3,940270.7747140332,32.97716346336444
SO X5,NOx,4,1111606.237874076,57.208166387637526
SO X5,PM25,1,2842.8493187180434,0.0
SO X5,PM25,2,2916.9559392509896,2.6067727207702966
SO X5,PM25,3,3532.127245081664,24.24602393891366
SO X5,PM25,4,3543.808429059764,24.656920988616154
SO X5,SO2,1,166661.0162223815,0.0
SO X5,SO2,2,159545.20937786068,-4.269628858512392
SO X5,SO2,3,185396.5780857172,11.241718242216999
SO X5,SO2,4,199009.94163852217,19.410013300876788
