Scenario,Cost Components,Epoch,Cost ($),Cost ($) Percentage Difference (%)
MO OPOI,Emission,1,5091803054.785641,0.0
MO OPOI,Emission,2,4575214551.441013,-10.145492623857487
MO OPOI,Emission,3,4806721455.377364,-5.598833975723717
MO OPOI,Emission,4,4762108470.032302,-6.4750066176159
MO OPOI,Generation Investment,1,7928719765.782434,0.0
MO OPOI,Generation Investment,2,8329684506.909828,5.05711833652914
MO OPOI,Generation Investment,3,6830588185.476388,-13.850049096768386
MO OPOI,Generation Investment,4,5895192911.049908,-25.64760660994116
MO OPOI,Line Investment,1,770700294.6778071,0.0
MO OPOI,Line Investment,2,603863847.3850138,-21.647383353154108
MO OPOI,Line Investment,3,473143125.4104744,-38.60867464592408
MO OPOI,Line Investment,4,370720019.2437743,-51.89829019090298
MO OPOI,Operation,1,10958180559.229961,0.0
MO OPOI,Operation,2,7626347880.471654,-30.404980651208007
MO OPOI,Operation,3,7107071392.204056,-35.14369147515238
MO OPOI,Operation,4,6859321534.954095,-37.404558193955296
MO OPOI X5,Air Quality,1,363595541.26110494,0.0
MO OPOI X5,Air Quality,2,387771860.93623066,6.649234363895634
MO OPOI X5,Air Quality,3,577960644.2222061,58.95702191990343
MO OPOI X5,Air Quality,4,1054156393.4777732,189.92555569342454
MO OPOI X5,BESS Investment,1,0.0,0.0
MO OPOI X5,BESS Investment,2,182890646.86132222,0.0
MO OPOI X5,BESS Investment,3,176784798.1918754,0.0
MO OPOI X5,BESS Investment,4,138515515.21718028,0.0
MO OPOI X5,Emission,1,4412257566.098827,0.0
MO OPOI X5,Emission,2,3732536615.669944,-15.405287208332002
MO OPOI X5,Emission,3,4061006751.9879255,-7.960795779686683
MO OPOI X5,Emission,4,4225290089.3969274,-4.23745608457782
MO OPOI X5,Generation Investment,1,10235027988.170717,0.0
MO OPOI X5,Generation Investment,2,10781535097.374306,5.33957610897813
MO OPOI X5,Generation Investment,3,9062749057.443525,-11.453597704686986
MO OPOI X5,Generation Investment,4,7630157859.444614,-25.45054231152782
MO OPOI X5,Line Investment,1,752241012.265122,0.0
MO OPOI X5,Line Investment,2,589400516.6004441,-21.647383353154108
MO OPOI X5,Line Investment,3,461810727.28647524,-38.60867464592408
MO OPOI X5,Line Investment,4,361840788.7847828,-51.898290190903
MO OPOI X5,Operation,1,10638522145.172565,0.0
MO OPOI X5,Operation,2,6719472913.33923,-36.83828616751698
MO OPOI X5,Operation,3,6284993132.590409,-40.92231000861011
MO OPOI X5,Operation,4,6288955316.08769,-40.88506626889502
MO X5,Air Quality,1,376977147.25354695,0.0
MO X5,Air Quality,2,401820559.23732215,6.590163930299478
MO X5,Air Quality,3,574912007.0353698,52.50579808984971
MO X5,Air Quality,4,1060236315.9747486,181.24684047801333
MO X5,BESS Investment,1,0.0,0.0
MO X5,BESS Investment,2,230263571.26506323,0.0
MO X5,BESS Investment,3,180417533.27065176,0.0
MO X5,BESS Investment,4,141361858.2072494,0.0
MO X5,Emission,1,4397542946.364132,0.0
MO X5,Emission,2,3703665924.0126705,-15.778743512332397
MO X5,Emission,3,4022285325.0554748,-8.533347505313586
MO X5,Emission,4,4215192133.32386,-4.146652238860761
MO X5,Generation Investment,1,10278661819.161373,0.0
MO X5,Generation Investment,2,10848999469.942205,5.548753921620564
MO X5,Generation Investment,3,9168379121.729553,-10.801821452691854
MO X5,Generation Investment,4,7635329203.518055,-25.716699918229097
