Scenario,Zone Number,Zone,Technology,Epoch,Capacity (MW)
MO EM190,4,WCMA,Solar PV,3,1424.1018946891895
MO EM190,4,WCMA,Solar PV,4,0.0
MO EM190,4,WCMA,Wind,1,990.4169149726634
MO EM190,4,WCMA,Wind,2,0.0
MO EM190,4,WCMA,Wind,3,0.0
MO EM190,4,WCMA,Wind,4,0.0
MO EM190,5,NEMA,Battery,1,836.9060436923113
MO EM190,5,NEMA,Battery,2,1089.1651208961844
MO EM190,5,NEMA,Battery,3,0.0
MO EM190,5,NEMA,Battery,4,0.0
MO EM190,5,NEMA,NG-CC-CCS,1,0.0
MO EM190,5,NEMA,NG-CC-CCS,2,0.0
MO EM190,5,NEMA,NG-CC-CCS,3,0.0
MO EM190,5,NEMA,NG-CC-CCS,4,0.0
MO EM190,5,NEMA,NG-CT,1,0.0
MO EM190,5,NEMA,NG-CT,2,0.0
MO EM190,5,NEMA,NG-CT,3,886.2349473426555
MO EM190,5,NEMA,NG-CT,4,251.81741257540267
MO EM190,5,NEMA,Solar PV,1,5320.632694830628
MO EM190,5,NEMA,Solar PV,2,2498.286004112646
MO EM190,5,NEMA,Solar PV,3,736.4399562151252
MO EM190,5,NEMA,Solar PV,4,0.0
MO EM190,5,NEMA,Wind,1,15817.921288189102
MO EM190,5,NEMA,Wind,2,0.0
MO EM190,5,NEMA,Wind,3,0.0
MO EM190,5,NEMA,Wind,4,0.0
MO EM190,6,CT,Battery,1,0.0
MO EM190,6,CT,Battery,2,0.0
MO EM190,6,CT,Battery,3,0.0
MO EM190,6,CT,Battery,4,0.0
MO EM190,6,CT,NG-CC-CCS,1,0.0
MO EM190,6,CT,NG-CC-CCS,2,0.0
MO EM190,6,CT,NG-CC-CCS,3,0.0
MO EM190,6,CT,NG-CC-CCS,4,0.0
MO EM190,6,CT,NG-CT,1,0.0
MO EM190,6,CT,NG-CT,2,0.0
MO EM190,6,CT,NG-CT,3,0.0
MO EM190,6,CT,NG-CT,4,82.15363288258021
MO EM190,6,CT,Solar PV,1,1768.3638745921164
MO EM190,6,CT,Solar PV,2,0.0
MO EM190,6,CT,Solar PV,3,419.4671794729315
MO EM190,6,CT,Solar PV,4,0.0
MO EM190,6,CT,Wind,1,6780.726196556982
MO EM190,6,CT,Wind,2,1485.1191545694912
MO EM190,6,CT,Wind,3,0.0
MO EM190,6,CT,Wind,4,0.0
MO EM190,7,RI,Battery,1,0.0
MO EM190,7,RI,Battery,2,0.0
MO EM190,7,RI,Battery,3,0.0
MO EM190,7,RI,Battery,4,0.0
MO EM190,7,RI,NG-CC-CCS,1,0.0
MO EM190,7,RI,NG-CC-CCS,2,0.0
MO EM190,7,RI,NG-CC-CCS,3,0.0
MO EM190,7,RI,NG-CC-CCS,4,0.0
MO EM190,7,RI,NG-CT,1,0.0
MO EM190,7,RI,NG-CT,2,0.0
MO EM190,7,RI,NG-CT,3,0.0
MO EM190,7,RI,NG-CT,4,0.0
MO EM190,7,RI,Solar PV,1,0.0
MO EM190,7,RI,Solar PV,2,0.0
MO EM190,7,RI,Solar PV,3,0.0
MO EM190,7,RI,Solar PV,4,782.566517921886
MO EM190,7,RI,Wind,1,610.8106015705889
MO EM190,7,RI,Wind,2,0.0
MO EM190,7,RI,Wind,3,659.5764694481302
MO EM190,7,RI,Wind,4,0.0
MO EM190,8,SEMA,Battery,1,0.0
MO EM190,8,SEMA,Battery,2,0.0
MO EM190,8,SEMA,Battery,3,0.0
MO EM190,8,SEMA,Battery,4,0.0
MO EM190,8,SEMA,NG-CC-CCS,1,0.0
MO EM190,8,SEMA,NG-CC-CCS,2,0.0
MO EM190,8,SEMA,NG-CC-CCS,3,0.0
MO EM190,8,SEMA,NG-CC-CCS,4,0.0
MO EM190,8,SEMA,NG-CT,1,0.0
MO EM190,8,SEMA,NG-CT,2,0.0
MO EM190,8,SEMA,NG-CT,3,0.0
MO EM190,8,SEMA,NG-CT,4,0.0
MO EM190,8,SEMA,Solar PV,1,0.0
MO EM190,8,SEMA,Solar PV,2,0.0
MO EM190,8,SEMA,Solar PV,3,0.0
MO EM190,8,SEMA,Solar PV,4,0.0
MO EM190,8,SEMA,Wind,1,0.0
MO EM190,8,SEMA,Wind,2,0.0
MO EM190,8,SEMA,Wind,3,0.0
MO EM190,8,SEMA,Wind,4,0.0
MO EM190,9,VINE,Offshore Storage,1,0.0
MO EM190,9,VINE,Offshore Storage,2,0.0
MO EM190,9,VINE,Offshore Storage,3,0.0
MO EM190,9,VINE,Offshore Storage,4,0.0
MO EM190,9,VINE,NG-CC-CCS,1,0.0
MO EM190,9,VINE,NG-CC-CCS,2,0.0
MO EM190,9,VINE,NG-CC-CCS,3,0.0
MO EM190,9,VINE,NG-CC-CCS,4,0.0
MO EM190,9,VINE,NG-CT,1,0.0
MO EM190,9,VINE,NG-CT,2,0.0
MO EM190,9,VINE,NG-CT,3,0.0
MO EM190,9,VINE,NG-CT,4,0.0
MO EM190,9,VINE,Solar PV,1,0.0
MO EM190,9,VINE,Solar PV,2,0.0
MO EM190,9,VINE,Solar PV,3,0.0
MO EM190,9,VINE,Solar PV,4,0.0
MO EM190,9,VINE,Wind,1,0.0
MO EM190,9,VINE,Wind,2,0.0
MO EM190,9,VINE,Wind,3,0.0
MO EM190,9,VINE,Wind,4,0.0
MO EM190,10,MFLR1,Offshore Storage,1,0.0
MO EM190,10,MFLR1,Offshore Storage,2,0.0
MO EM190,10,MFLR1,Offshore Storage,3,0.0
MO EM190,10,MFLR1,Offshore Storage,4,0.0
MO EM190,10,MFLR1,NG-CC-CCS,1,0.0
MO EM190,10,MFLR1,NG-CC-CCS,2,0.0
MO EM190,10,MFLR1,NG-CC-CCS,3,0.0
MO EM190,10,MFLR1,NG-CC-CCS,4,0.0
MO EM190,10,MFLR1,NG-CT,1,0.0
MO EM190,10,MFLR1,NG-CT,2,0.0
MO EM190,10,MFLR1,NG-CT,3,0.0
MO EM190,10,MFLR1,NG-CT,4,0.0
MO EM190,10,MFLR1,Solar PV,1,0.0
MO EM190,10,MFLR1,Solar PV,2,0.0
MO EM190,10,MFLR1,Solar PV,3,0.0
MO EM190,10,MFLR1,Solar PV,4,0.0
MO EM190,10,MFLR1,Wind,1,0.0
MO EM190,10,MFLR1,Wind,2,0.0
MO EM190,10,MFLR1,Wind,3,0.0
MO EM190,10,MFLR1,Wind,4,0.0
MO EM190,11,MFLR2,Offshore Storage,1,0.0
MO EM190,11,MFLR2,Offshore Storage,2,0.0
MO EM190,11,MFLR2,Offshore Storage,3,0.0
MO EM190,11,MFLR2,Offshore Storage,4,0.0
MO EM190,11,MFLR2,NG-CC-CCS,1,0.0
MO EM190,11,MFLR2,NG-CC-CCS,2,0.0
MO EM190,11,MFLR2,NG-CC-CCS,3,0.0
MO EM190,11,MFLR2,NG-CC-CCS,4,0.0
MO EM190,11,MFLR2,NG-CT,1,0.0
MO EM190,11,MFLR2,NG-CT,2,0.0
MO EM190,11,MFLR2,NG-CT,3,0.0
MO EM190,11,MFLR2,NG-CT,4,0.0
MO EM190,11,MFLR2,Solar PV,1,0.0
MO EM190,11,MFLR2,Solar PV,2,0.0
MO EM190,11,MFLR2,Solar PV,3,0.0
MO EM190,11,MFLR2,Solar PV,4,0.0
MO EM190,11,MFLR2,Wind,1,0.0
MO EM190,11,MFLR2,Wind,2,0.0
MO EM190,11,MFLR2,Wind,3,0.0
MO EM190,11,MFLR2,Wind,4,0.0
MO EM190,12,COMW,Offshore Storage,1,0.0
MO EM190,12,COMW,Offshore Storage,2,0.0
MO EM190,12,COMW,Offshore Storage,3,0.0
MO EM190,12,COMW,Offshore Storage,4,0.0
MO EM190,12,COMW,NG-CC-CCS,1,0.0
MO EM190,12,COMW,NG-CC-CCS,2,0.0
MO EM190,12,COMW,NG-CC-CCS,3,0.0
MO EM190,12,COMW,NG-CC-CCS,4,0.0
MO EM190,12,COMW,NG-CT,1,0.0
MO EM190,12,COMW,NG-CT,2,0.0
MO EM190,12,COMW,NG-CT,3,0.0
MO EM190,12,COMW,NG-CT,4,0.0
MO EM190,12,COMW,Solar PV,1,0.0
MO EM190,12,COMW,Solar PV,2,0.0
MO EM190,12,COMW,Solar PV,3,0.0
MO EM190,12,COMW,Solar PV,4,0.0
MO EM190,12,COMW,Wind,1,0.0
MO EM190,12,COMW,Wind,2,0.0
MO EM190,12,COMW,Wind,3,0.0
MO EM190,12,COMW,Wind,4,0.0
MO EM190,13,PKCTY,Offshore Storage,1,0.0
MO EM190,13,PKCTY,Offshore Storage,2,0.0
MO EM190,13,PKCTY,Offshore Storage,3,0.0
MO EM190,13,PKCTY,Offshore Storage,4,0.0
MO EM190,13,PKCTY,NG-CC-CCS,1,0.0
MO EM190,13,PKCTY,NG-CC-CCS,2,0.0
MO EM190,13,PKCTY,NG-CC-CCS,3,0.0
MO EM190,13,PKCTY,NG-CC-CCS,4,0.0
MO EM190,13,PKCTY,NG-CT,1,0.0
MO EM190,13,PKCTY,NG-CT,2,0.0
MO EM190,13,PKCTY,NG-CT,3,0.0
MO EM190,13,PKCTY,NG-CT,4,0.0
MO EM190,13,PKCTY,Solar PV,1,0.0
MO EM190,13,PKCTY,Solar PV,2,0.0
MO EM190,13,PKCTY,Solar PV,3,0.0
MO EM190,13,PKCTY,Solar PV,4,0.0
MO EM190,13,PKCTY,Wind,1,0.0
MO EM190,13,PKCTY,Wind,2,0.0
MO EM190,13,PKCTY,Wind,3,0.0
MO EM190,13,PKCTY,Wind,4,0.0
MO EM190,14,REV,Offshore Storage,1,0.0
MO EM190,14,REV,Offshore Storage,2,0.0
MO EM190,14,REV,Offshore Storage,3,0.0
MO EM190,14,REV,Offshore Storage,4,0.0
MO EM190,14,REV,NG-CC-CCS,1,0.0
MO EM190,14,REV,NG-CC-CCS,2,0.0
MO EM190,14,REV,NG-CC-CCS,3,0.0
MO EM190,14,REV,NG-CC-CCS,4,0.0
MO EM190,14,REV,NG-CT,1,0.0
MO EM190,14,REV,NG-CT,2,0.0
MO EM190,14,REV,NG-CT,3,0.0
MO EM190,14,REV,NG-CT,4,0.0
MO EM190,14,REV,Solar PV,1,0.0
MO EM190,14,REV,Solar PV,2,0.0
MO EM190,14,REV,Solar PV,3,0.0
MO EM190,14,REV,Solar PV,4,0.0
MO EM190,14,REV,Wind,1,0.0
MO EM190,14,REV,Wind,2,0.0
MO EM190,14,REV,Wind,3,0.0
MO EM190,14,REV,Wind,4,0.0
MO EM190,15,REV,Offshore Storage,1,0.0
MO EM190,15,REV,Offshore Storage,2,0.0
MO EM190,15,REV,Offshore Storage,3,0.0
MO EM190,15,REV,Offshore Storage,4,0.0
MO EM190,15,REV,NG-CC-CCS,1,0.0
MO EM190,15,REV,NG-CC-CCS,2,0.0
MO EM190,15,REV,NG-CC-CCS,3,0.0
MO EM190,15,REV,NG-CC-CCS,4,0.0
MO EM190,15,REV,NG-CT,1,0.0
MO EM190,15,REV,NG-CT,2,0.0
MO EM190,15,REV,NG-CT,3,0.0
MO EM190,15,REV,NG-CT,4,0.0
