,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
350,6847.745729,8883.784484,10019.30243,14279.44579,18483.76548,2418.29003,8701.138828,8205.34838,26395.97157,0,0,0,0,0,0,0,0
350,6880.350027,8937.127915,10970.55097,14206.19617,18553.2545,2430.467392,8635.623335,8163.653739,26529.05848,0,0,0,0,0,0,0,0
350,6795.523821,8944.547292,11606.54879,14075.62165,18255.221,2425.388989,8512.466445,8014.458804,26450.54274,0,0,0,0,0,0,0,0
350,6711.82944,8958.69671,11745.74482,13929.63046,18021.90882,2408.87754,8384.826377,7919.107598,26206.93869,0,0,0,0,0,0,0,0
350,6558.61805,8875.541382,11765.3859,13805.96275,17877.56034,2395.916103,8320.196881,7821.104037,25935.99685,0,0,0,0,0,0,0,0
350,6449.371486,8759.0656,11746.54154,13631.70884,17803.28892,2358.502186,8282.393085,7717.608432,25716.60666,0,0,0,0,0,0,0,0
350,6399.831594,8671.213893,11695.5394,13588.16555,17813.89995,2351.617715,8234.718154,7705.789188,25693.47262,0,0,0,0,0,0,0,0
350,6378.491929,8634.735936,11629.83402,13579.5488,17878.03617,2320.670408,8198.830608,7679.366006,25587.89685,0,0,0,0,0,0,0,0
350,6427.164683,8641.322619,11639.34234,13640.05355,18100.62846,2305.435238,8300.515432,7694.741794,25603.76119,0,0,0,0,0,0,0,0
350,6583.317122,8753.337966,11620.46099,13969.47006,18857.31565,2357.189295,8578.264249,7904.594457,26066.68537,0,0,0,0,0,0,0,0
350,6776.289409,9104.870091,11747.70828,14320.25391,19536.80176,2446.521169,8829.247506,8133.28722,27083.304,0,0,0,0,0,0,0,0
350,6859.014514,9144.83206,12296.6168,14338.35374,19504.88585,2445.761934,8757.740959,8086.626324,27220.39644,0,0,0,0,0,0,0,0
350,6740.974822,9097.924041,12595.82366,14080.51466,19184.40631,2432.05761,8565.500072,8003.220475,26884.53978,0,0,0,0,0,0,0,0
350,6635.613302,8967.838255,12465.34275,13696.01966,18629.26693,2398.858394,8277.196236,7793.038732,26538.73469,0,0,0,0,0,0,0,0
350,6469.22557,8752.10807,12256.51082,13146.59847,17809.65988,2335.484438,7889.525972,7490.899466,25746.68867,0,0,0,0,0,0,0,0
350,6198.577349,8371.255667,12063.13007,12396.78314,16639.05815,2219.389992,7321.456093,7031.462326,24407.08907,0,0,0,0,0,0,0,0
350,5836.961853,7931.932643,11642.47255,11592.85189,15387.44906,2110.727324,6800.253486,6630.415485,22976.5024,0,0,0,0,0,0,0,0
350,5613.94448,7538.234242,10987.02429,11021.70013,14370.39658,2029.143613,6329.705231,6274.097744,21957.11804,0,0,0,0,0,0,0,0
350,5514.704283,7347.848606,10364.41977,10583.97125,13678.59151,1962.683935,6066.362611,6045.797467,21415.30081,0,0,0,0,0,0,0,0
350,5334.655117,7222.841889,9909.703763,10321.46598,13318.28842,1928.228162,5906.33833,5860.019088,21000.44384,0,0,0,0,0,0,0,0
184,4597.600667,6263.592656,9176.214295,11122.78433,13273.70827,1673.700561,6175.468153,5085.066547,18097.64554,0,0,0,0,0,0,0,0
184,4615.898996,6301.164821,8998.15582,11058.0536,13126.28089,1707.549857,6100.744574,5074.414548,18048.05024,0,0,0,0,0,0,0,0
184,4627.948965,6303.64433,8954.923699,10998.00248,13233.47776,1735.213871,6083.980204,5184.906814,18073.82107,0,0,0,0,0,0,0,0
184,4793.104872,6580.689913,8876.858654,11231.69424,13751.54124,1794.543863,6261.71841,5412.631504,18723.38941,0,0,0,0,0,0,0,0
184,5034.013237,6949.703988,9177.578736,11722.05806,14471.80291,1880.059254,6635.680808,5697.900213,19944.11946,0,0,0,0,0,0,0,0
184,5241.617115,7259.384812,9762.163329,12307.40314,15042.93241,1954.834495,6964.105297,5901.581602,21116.5123,0,0,0,0,0,0,0,0
184,5412.382698,7566.019709,10394.6989,12767.85113,15526.04141,1962.024972,7255.883972,6093.590086,22230.31513,0,0,0,0,0,0,0,0
184,5530.362809,7792.778065,10925.61207,13119.04937,15924.41281,1993.681173,7472.877206,6186.142162,23040.53596,0,0,0,0,0,0,0,0
184,5661.666736,7933.847307,11441.45847,13264.86641,16228.06077,1999.404618,7621.295102,6242.716842,23679.51485,0,0,0,0,0,0,0,0
184,5733.498398,8095.741322,11788.67264,13447.04262,16580.66466,2004.4787,7770.19718,6309.401286,24352.83656,0,0,0,0,0,0,0,0
184,5835.648909,8197.546349,12109.66655,13608.42541,17023.23727,2001.38005,7935.385889,6382.890635,24982.3403,0,0,0,0,0,0,0,0
184,5969.565888,8391.144661,12281.26126,13775.77386,17524.19036,2024.381251,8164.608598,6495.938172,25745.95457,0,0,0,0,0,0,0,0
184,6119.999131,8606.235483,12630.18548,14012.40791,18133.10856,2062.333688,8335.955804,6618.597096,26434.38525,0,0,0,0,0,0,0,0
184,6208.581826,8723.716341,12929.1026,14152.99875,18606.34733,2066.40005,8485.956586,6744.639116,26873.61963,0,0,0,0,0,0,0,0
184,6168.02672,8696.767957,13253.67575,13989.29889,18665.21411,2078.403787,8464.454786,6718.049912,26767.99827,0,0,0,0,0,0,0,0
184,6081.819334,8517.179684,13301.62661,13617.675,18190.18086,2029.922491,8243.196599,6586.21487,26214.36605,0,0,0,0,0,0,0,0
184,5865.417843,8225.111777,13086.18043,13213.20059,17491.75881,2000.513183,7931.412089,6350.301612,25064.05058,0,0,0,0,0,0,0,0
184,5702.575214,8050.349634,12601.07225,12979.89238,17117.32008,1971.084897,7761.582247,6207.910175,24190.04564,0,0,0,0,0,0,0,0
184,5445.759267,7745.554177,12085.28008,12363.83958,16250.86392,1894.214553,7404.593788,5917.587454,22987.3429,0,0,0,0,0,0,0,0
184,5143.559237,7301.566373,11775.89798,11680.65637,15227.72279,1818.062002,6966.051432,5564.501704,21437.3737,0,0,0,0,0,0,0,0
184,4881.806132,6886.995784,11173.54412,11029.25213,14089.05075,1730.864335,6537.421338,5232.070554,19908.52484,0,0,0,0,0,0,0,0
184,4718.249242,6549.034146,10505.27988,10508.39088,13338.46719,1679.545596,6173.322156,5023.945365,18828.24415,0,0,0,0,0,0,0,0
184,4586.177326,6310.025439,9878.589359,10177.48304,12820.0051,1647.322347,5941.561794,4870.254006,18073.6412,0,0,0,0,0,0,0,0
184,4480.922052,6155.922634,9438.152258,9945.197253,12488.31792,1608.050105,5785.818877,4774.309276,17576.03206,0,0,0,0,0,0,0,0
121,4587.742,6112.287119,8541.116517,10035.36443,13193.36341,1650.269922,5908.97171,4843.998603,17034.76429,0,0,0,0,0,0,0,0
121,4623.633661,6234.704599,8370.51856,10028.52362,13150.3882,1684.912023,5903.770923,4911.020788,17301.83877,0,0,0,0,0,0,0,0
121,4645.980775,6314.23543,8384.252007,10118.76634,13144.95155,1727.746333,5919.255372,5023.48707,17660.79839,0,0,0,0,0,0,0,0
121,4790.500097,6484.900489,8461.104255,10388.01273,13418.19259,1766.563268,6104.269904,5262.056871,18218.8091,0,0,0,0,0,0,0,0
121,4924.627496,6714.530429,8597.672189,10982.18068,14005.64657,1840.591121,6441.920274,5519.203036,19121.19214,0,0,0,0,0,0,0,0
121,5080.870431,6991.262417,9072.393132,11354.3749,14360.9139,1886.16928,6686.632225,5700.747813,19901.93262,0,0,0,0,0,0,0,0
121,5173.59851,7191.377674,9638.3677,11679.13729,14615.36273,1903.472816,6827.911441,5817.140776,20350.93699,0,0,0,0,0,0,0,0
121,5262.535557,7248.932307,10072.26388,11989.73263,14929.39224,1916.086087,6962.811123,5830.886325,20596.78898,0,0,0,0,0,0,0,0
121,5268.106049,7243.592038,10465.16651,12120.88378,15048.77353,1901.674812,7002.878722,5871.103502,20613.29614,0,0,0,0,0,0,0,0
121,5261.697887,7280.334388,10669.06835,12133.936,15335.29478,1884.436967,7035.463995,5862.233913,20691.71703,0,0,0,0,0,0,0,0
121,5257.887989,7304.450765,10834.9262,11997.57874,15621.02503,1889.157977,6973.61015,5753.902156,20727.96821,0,0,0,0,0,0,0,0
121,5225.859309,7272.663222,10944.85836,11897.20565,15596.8046,1880.365463,6866.410119,5858.624807,20715.28753,0,0,0,0,0,0,0,0
121,5270.664878,7271.026441,11148.1356,11826.85707,15549.68278,1877.095532,6818.904986,5847.572881,20821.69977,0,0,0,0,0,0,0,0
121,5279.002178,7248.592782,11330.59497,11851.20859,15552.75067,1896.61488,6800.674513,5821.903132,20901.42185,0,0,0,0,0,0,0,0
121,5289.346981,7198.755412,11548.21068,11784.08991,15479.4329,1879.67872,6782.011324,5788.851261,20725.38146,0,0,0,0,0,0,0,0
121,5309.141596,7143.629309,11581.8821,11722.43751,15493.95002,1893.513814,6778.383365,5755.613217,20655.16199,0,0,0,0,0,0,0,0
121,5354.031804,7263.243162,11373.9708,11845.91699,15799.73286,1908.01632,6852.278886,5836.964769,20928.67622,0,0,0,0,0,0,0,0
121,5244.61843,7282.428322,11036.04269,11582.81756,15410.80874,1881.825857,6701.764199,5683.659545,20708.75701,0,0,0,0,0,0,0,0
121,5058.736953,6970.90746,10981.68719,11094.06173,14668.09234,1810.471856,6421.450576,5416.984293,19771.54963,0,0,0,0,0,0,0,0
121,4835.865183,6636.951114,10525.04374,10548.42301,13844.48132,1748.78819,6081.334975,5104.289214,18662.15534,0,0,0,0,0,0,0,0
121,4663.074833,6361.424695,9890.062647,10040.99476,13088.00269,1678.965656,5808.97519,4876.90096,17720.5117,0,0,0,0,0,0,0,0
121,4553.802297,6125.848334,9277.03028,9712.110689,12504.3674,1651.475023,5549.211152,4726.989285,17115.18103,0,0,0,0,0,0,0,0
121,4437.517642,6002.943514,8778.067841,9435.259694,12111.84095,1606.750379,5406.409706,4611.389572,16663.76842,0,0,0,0,0,0,0,0
121,4397.660194,5889.534847,8424.720268,9343.322188,11856.27318,1603.011289,5300.007764,4564.50697,16422.15661,0,0,0,0,0,0,0,0
13,6571.29328,8864.832029,11406.18866,13765.10138,15074.56732,2208.675863,7444.276551,6819.694252,29476.9516,0,0,0,0,0,0,0,0
13,6677.551667,8971.509234,11344.41268,14095.03841,15393.28035,2240.382063,7728.167326,6975.066685,29863.62093,0,0,0,0,0,0,0,0
13,6931.081808,9322.200623,11338.92862,14804.12859,16219.37495,2323.460349,8281.710562,7306.59792,30879.08941,0,0,0,0,0,0,0,0
13,7289.699676,9875.128744,11554.20552,15710.29177,17569.6714,2472.480371,8994.520634,7805.539324,32643.26904,0,0,0,0,0,0,0,0
13,7472.107798,10346.51886,12163.15681,16269.99406,18571.14518,2571.529715,9470.666965,8181.073251,33576.3569,0,0,0,0,0,0,0,0
13,7644.012918,10457.02346,13180.34377,16431.54142,19038.0928,2633.349908,9680.563941,8312.361362,34109.53739,0,0,0,0,0,0,0,0
13,7681.551915,10386.44378,13731.28667,16443.21467,19346.424,2623.479244,9742.013766,8402.878432,33739.38873,0,0,0,0,0,0,0,0
13,7608.075725,10257.41119,13704.07286,16294.26465,19459.64182,2598.929211,9786.475939,8459.051336,33333.07359,0,0,0,0,0,0,0,0
13,7534.790388,10091.34252,13547.52189,16393.56024,19476.03383,2573.80008,9764.165456,8454.249769,32610.26293,0,0,0,0,0,0,0,0
13,7486.101492,9967.358808,13448.50463,16420.22574,19385.57475,2550.091999,9697.794088,8423.187462,31957.44027,0,0,0,0,0,0,0,0
13,7357.876955,9886.106432,13293.23942,16527.6614,19314.01177,2543.483842,9657.329198,8373.921801,31523.93907,0,0,0,0,0,0,0,0
13,7286.578484,9777.577516,13171.87155,16547.05245,19296.33366,2504.858574,9626.765915,8317.027539,30990.92679,0,0,0,0,0,0,0,0
13,7292.158604,9803.684829,13111.57803,16691.6293,19583.95924,2496.349856,9656.226044,8308.273534,30830.9921,0,0,0,0,0,0,0,0
13,7437.866565,9918.186011,13044.92359,17048.73054,20215.45383,2543.187666,9886.697805,8401.361383,31225.76875,0,0,0,0,0,0,0,0
13,7773.63268,10279.73625,13084.12847,17861.79123,21396.80695,2637.340848,10362.61744,8866.658993,32523.97846,0,0,0,0,0,0,0,0
13,7988.115687,10646.27208,13501.02093,18137.86594,21667.2017,2679.662364,10518.37053,8996.82427,33492.71697,0,0,0,0,0,0,0,0
13,7988.429352,10561.36531,14250.24541,18044.2154,21459.99107,2673.172644,10479.50086,8941.231926,33593.323,0,0,0,0,0,0,0,0
13,7924.063252,10416.86881,14241.16825,17819.20812,21025.10381,2632.932405,10242.93168,8821.003674,33389.55945,0,0,0,0,0,0,0,0
13,7813.796259,10145.33819,14086.12936,17316.80023,20248.58709,2569.636383,9962.225545,8563.616761,33015.96209,0,0,0,0,0,0,0,0
13,7545.318566,9732.094286,13798.26341,16829.232,19196.64899,2493.88577,9521.990143,8240.010621,32101.58731,0,0,0,0,0,0,0,0
13,7348.977621,9376.368008,13276.03632,16415.58433,18210.83469,2385.89263,9171.187106,7996.664676,31457.5215,0,0,0,0,0,0,0,0
