EIA_Utility_ID,EIA_Plant_Code,EIA_State,EIA_Type,EIA_Utility_Name,EIA_Plant_Name,EIA_Nameplate_Capacity_(MW)_sum,EIA_Zip,EIA_County,geometry,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,annual_grossLoad_MWh_2016,VOC_shortton_2016,NOx_shortton_2016,NH3_shortton_2016,SOx_shortton_2016,PM2_5_shortton_2016,unique_match
11624,6586,MA,Oil,City of Marblehead - (MA),Wilkins Station,5.4,1945,ESSEX,POINT (-70.8583 42.5131),,,,,,,,,True
4180,6635,CT,Gas_GT,Connecticut Mun Elec Engy Coop,A L Pierce,84.0,6492,NEW HAVEN,POINT (-72.834884 41.44823),5.430470859344496,12.21132734780258,4067.25,0.038462119999999995,1.1608,0.0,0.01321382,0.18684309999999998,True
19794,7337,VT,Oil,Omya Inc,Florence,9.2,5744,RUTLAND,POINT (-73.0631 43.7089),,,,,,,,,True
3477,7396,MA,Oil,City of Chicopee - (MA),Front Street,8.1,1020,HAMPDEN,POINT (-72.5911 42.1483),,,,,,,,,True
15472,8002,NH,Oil,Public Service Co of NH,Newington,414.0,3801,ROCKINGHAM,POINT (-70.790833 43.1),6.113367832789663,13.747488779947162,53506.53,1.663052,44.6,0.0,40.6,2.605015,True
8973,9038,MA,Oil,Town of Hudson - (MA),Cherry Street,17.3,1749,MIDDLESEX,POINT (-71.56 42.388611),,,,,,,,,True
7049,10029,MA,Gas_Steam,General Electric Aircraft Engines,General Electric Aircraft Engines,32.5,1910,ESSEX,POINT (-70.9739 42.45),,,,,,,,,True
7049,10029,MA,Gas_GT,General Electric Aircraft Engines,General Electric Aircraft Engines,21.1,1910,ESSEX,POINT (-70.9739 42.45),,,,,,,,,True
6636,10108,NH,Oil,Foss Manufacturing Company LLC,Hampton Facility,3.8,3842,ROCKINGHAM,POINT (-70.8406 42.9383),,,,,,,,,True
6636,10108,NH,Gas_GT,Foss Manufacturing Company LLC,Hampton Facility,5.0,3842,ROCKINGHAM,POINT (-70.8406 42.9383),,,,,,,,,True
11724,10176,MA,Oil,Massachusetts Bay Trans Auth,M Street Jet,69.0,2127,SUFFOLK,POINT (-71.031407 42.339387),238.24734593977337,535.7491099879844,989.4100000000001,0.06,4.35,0.7795000000000001,0.7930999999999999,0.1980903,True
11451,10186,ME,Gas_Steam,Madison Paper Industries Inc,Anson Abenaki Hydros,3.0,4950,SOMERSET,POINT (-69.8867 44.7975),,,,,,,,,True
21970,10307,MA,Gas_CCGT,Northeast Energy Associates LP,Bellingham Cogeneration Facility,386.1,2019,NORFOLK,POINT (-71.4833 42.0925),6.779084817506373,15.243930247612298,490301.13,5.6236675,218.375,17.56357,2.189,0.52635315,True
3692,10408,MA,Gas_IC,Clark University,Clark University,2.0,1610,WORCESTER,POINT (-71.8226 42.2508),,,,,,,,,True
39878,10417,MA,Gas_Steam,Solutia Inc-Indian,Indian Orchard Plant 1,5.7,1151,HAMPDEN,POINT (-72.524153 42.156898),,,,,,,,,True
54784,10491,ME,Gas_Steam,NewPage Corporation,Mead Rumford Cogen,12.5,4276,OXFORD,POINT (-70.544286 44.546503),,,,,,,,,True
4385,10553,MA,Oil,Anderson Power Products,Anderson Power Products Division,1.0,1564,WORCESTER,POINT (-71.743333 42.471389),,,,,,,,,True
291,10567,CT,Gas_CCGT,Algonquin Windsor Locks LLC,Algonquin Windsor Locks,71.0,6096,HARTFORD,POINT (-72.6255 41.9227),36.36579461116344,81.77956937905401,17056.0,2.8119784,15.7411,0.7025875,0.103215,0.71454021,True
11741,10726,MA,Gas_CCGT,Masspower,Masspower,260.9,1151,HAMPDEN,POINT (-72.5225 42.1575),6.829870250541717,15.358326958492398,479862.75,13.872499999999999,104.80000000000001,16.68,1.946,10.625520000000002,True
11427,10823,MA,Oil,Massachusetts Wtr RAuth-Deer I,Deer Island Treatment Plant,52.0,2152,SUFFOLK,POINT (-70.962778 42.353333),,,,,,,,,True
12258,10883,MA,Gas_GT,Medical Area Total Egy Plt Inc,Medical Area Total Energy Plant,25.0,2215,SUFFOLK,POINT (-71.10815 42.33685),,,,,,,,,True
12258,10883,MA,Oil,Medical Area Total Egy Plt Inc,Medical Area Total Energy Plant,40.8,2215,SUFFOLK,POINT (-71.10815 42.33685),,,,,,,,,True
12258,10883,MA,Gas_Steam,Medical Area Total Egy Plt Inc,Medical Area Total Energy Plant,22.0,2215,SUFFOLK,POINT (-71.10815 42.33685),,,,,,,,,True
15114,50002,MA,Gas_CCGT,"Pittsfield Generating Company,  LP",Pittsfield Generating LP,175.5,1201,BERKSHIRE,POINT (-73.2181 42.4564),4.705990242422558,10.582558881724253,179799.09999999995,1.6354,17.024,7.155,0.273,2.787391,True
16544,50041,MA,Gas_Steam,Saint - Gobain Abrasives Inc,Norton Powerhouse,5.6,1606,WORCESTER,POINT (-71.805218 42.309555),,,,,,,,,True
23955,50087,MA,Gas_Steam,University of Massachusetts Medical,Univ of Massachusetts Medical Center,10.0,1655,WORCESTER,POINT (-71.759772 42.279015),,,,,,,,,True
23955,50087,MA,Gas_GT,University of Massachusetts Medical,Univ of Massachusetts Medical Center,7.5,1655,WORCESTER,POINT (-71.759772 42.279015),,,,,,,,,True
16191,50230,ME,Oil,Robbins Lumber Inc,Robbins Lumber,2.0,4973,WALDO,POINT (-69.2019 44.3331),,,,,,,,,True
9303,50243,ME,Gas_GT,Verso Bucksport LLC,Bucksport Generation LLC,186.8,4416,HANCOCK,POINT (-68.8046 44.5738),0.13651362077962403,0.3068288615950223,9430.75,0.0047,1.82,0.0204,0.2,0.18075946,True
50168,50498,CT,Gas_CCGT,Maxim Power (USA) Inc,Capital District Energy Center,78.2,6106,HARTFORD,POINT (-72.6925 41.7639),11.73396433016751,26.385997810866684,109072.84000000001,0.32295588,38.7651,0.189209,0.11812255999999999,3.1410232,True
18000,50621,RI,Oil,State of Rhode Island,Central Power Plant,10.0,2920,PROVIDENCE,POINT (-71.458415 41.744973),,,,,,,,,True
18000,50621,RI,Gas_IC,State of Rhode Island,Central Power Plant,2.0,2920,PROVIDENCE,POINT (-71.458415 41.744973),,,,,,,,,True
18153,50801,CT,Gas_Steam,RockTenn-Uncasville,Uncasville Mill,2.8,6382,NEW LONDON,POINT (-72.0983 41.4336),,,,,,,,,True
5623,50955,MA,Gas_Steam,Rousselot Inc,Rousselot Inc,6.7,1960,ESSEX,POINT (-70.938657 42.521747),,,,,,,,,True
27769,51030,RI,Gas_CCGT,Ocean State Power Co,Ocean State Power,254.2,2830,PROVIDENCE,POINT (-71.668909 42.009722),,,,,,,,,True
16001,52024,RI,Gas_Steam,Rhode Island Hospital,Rhode Island Hospital,10.4,2903,PROVIDENCE,POINT (-71.41 41.8103),,,,,,,,,True
56516,52026,MA,Gas_CCGT,"Morris Energy Operations Company, LLC",Dartmouth Power Associates LP,77.0,2747,BRISTOL,POINT (-70.9994 41.6731),4.107257049821783,9.236072844127193,105598.67999999998,1.827,23.0,1.275,2.0789999999999997,4.391832,True
56516,52026,MA,Gas_GT,"Morris Energy Operations Company, LLC",Dartmouth Power Associates LP,24.7,2747,BRISTOL,POINT (-70.9994 41.6731),4.107257049821783,9.236072844127193,105598.67999999998,1.827,23.0,1.275,2.0789999999999997,4.391832,True
8153,52061,CT,Gas_CCGT,Hartford Steam Co,Hartford Hospital Cogeneration,10.4,6103,HARTFORD,POINT (-72.6733 41.7631),,,,,,,,,True
8153,52061,CT,Gas_Other,Hartford Steam Co,Hartford Hospital Cogeneration,1.4,6103,HARTFORD,POINT (-72.6733 41.7631),,,,,,,,,True
14584,54056,RI,Gas_CCGT,Pawtucket Power Associates LP,Pawtucket Power Associates,68.8,2860,PROVIDENCE,POINT (-71.406856 41.861531),37.402420088648796,84.10984145081602,18625.669999999995,0.3291,2.532,1.4050000000000002,0.055,0.0925,True
7209,54225,MA,Gas_GT,The Gillette Company,Gillette SBMC,7.2,2127,SUFFOLK,POINT (-71.0559 42.3436),,,,,,,,,True
7209,54225,MA,Oil,The Gillette Company,Gillette SBMC,2.0,2127,SUFFOLK,POINT (-71.0559 42.3436),,,,,,,,,True
7209,54225,MA,Gas_Steam,The Gillette Company,Gillette SBMC,5.0,2127,SUFFOLK,POINT (-71.0559 42.3436),,,,,,,,,True
5989,54228,MA,Gas_Steam,Erving Paper Mills Inc,Erving Paper Mills,0.6,1344,FRANKLIN,POINT (-72.3875 42.5983),,,,,,,,,True
5989,54228,MA,Gas_GT,Erving Paper Mills Inc,Erving Paper Mills,5.6,1344,FRANKLIN,POINT (-72.3875 42.5983),,,,,,,,,True
