latitude,zone,longitude,fuel,node,ave_marg_damages_isrm_LePeule,unit,tech,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
39.7197,PJM_EMAC,-76.1604,Gas,5,12.3790769,Existing NG-CT 552,NG-CT,Existing,713.6666664,91776.66701467503,779030.0277740856,SO X5
39.7277,PJM_West,-84.20969,Gas,9,157.787224,Existing NG-CT 871,NG-CT,Existing,36.6666664,4583.333321083333,466175.6512591241,SO X5
39.72789,PJM_West,-84.2093,Gas,9,156.9241352,Existing NG-CT 872,NG-CT,Existing,36.6666664,4583.333321083333,463625.6920594207,SO X5
39.7282,PJM_West,-84.20911,Gas,9,160.5428579,Existing NG-CT 873,NG-CT,Existing,36.6666664,4583.333321083333,474317.05457048607,SO X5
39.72833,PJM_West,-84.20972,Gas,9,214.8646951,Existing NG-CT 180,NG-CT,Existing,9.300042859267194,1162.505362755924,205495.7432926951,SO X5
39.72839,PJM_West,-84.20881,Gas,9,151.1772072,Existing NG-CT 874,NG-CT,Existing,36.6666664,4583.333321083333,446646.63738551823,SO X5
39.73872,PJM_EMAC,-76.30826,Gas,5,26.96637334,Existing NG-CC 992,NG-CC,Existing,30437.37745304438,5258015.51462184,103389485.62041306,SO X5
39.73872,PJM_EMAC,-76.30826,Gas,5,29.85848294,Existing NG-CC 994,NG-CC,Existing,81844.46508148064,13784754.397631286,256021873.90677583,SO X5
39.73872,PJM_EMAC,-76.30826,Gas,5,31.14855732,Existing NG-CC 993,NG-CC,Existing,30437.37745304438,5258015.51462184,119424042.62258692,SO X5
39.73872,PJM_EMAC,-76.30826,Gas,5,31.46051817,Existing NG-CC 991,NG-CC,Existing,27870.3333328,4800034.999655084,110148459.75182323,SO X5
39.74564767,PJM_EMAC,-75.506389,Gas,5,10.12751862,Existing NG-CC 457,NG-CC,Existing,46717.14884419627,7927737.883310432,58512144.93954529,SO X5
39.74564767,PJM_EMAC,-75.50444433,Gas,5,18.39028323,Existing NG-CC 453,NG-CC,Existing,22673.38400258195,3746623.854472789,56685413.044999875,SO X5
39.74751,PJM_AP,-79.83877,Gas,1,11.09927979,Existing NG-CT 950,NG-CT,Existing,1.4210854715202004e-13,2.675193395429432e-11,2.442827421762033e-10,SO X5
39.74751,PJM_AP,-79.83877,Gas,1,12.85790455,Existing NG-CT 951,NG-CT,Existing,1.2789769243681803e-13,2.5188739938286635e-11,2.664522818054308e-10,SO X5
39.806687,PJM_EMAC,-75.422206,Gas,5,7.859726755,Existing NG-CC 1035,NG-CC,Existing,21470.871701160766,3733481.932360158,24141503.042933945,SO X5
39.806687,PJM_EMAC,-75.422206,Gas,5,8.107978147,Existing NG-CC 1038,NG-CC,Existing,75563.50611405505,13177159.249039013,77949792.90607347,SO X5
39.806687,PJM_EMAC,-75.422206,Gas,5,8.166343395,Existing NG-CC 1036,NG-CC,Existing,21674.6333332,3529848.3327540704,23715183.379384484,SO X5
39.806687,PJM_EMAC,-75.422206,Gas,5,8.29786429,Existing NG-CC 1037,NG-CC,Existing,21470.871701160766,3733481.932360158,25487262.121351942,SO X5
39.841001,PJM_EMAC,-75.220256,Gas,5,12.56593167,Existing NG-CC 1119,NG-CC,Existing,82991.59602878227,14380743.753208993,117558803.93454438,SO X5
39.841001,PJM_EMAC,-75.220256,Gas,5,12.59769993,Existing NG-CC 1118,NG-CC,Existing,82991.59602878227,14380743.753208993,117856007.41668633,SO X5
39.8589,PJM_AP,-79.9181,Gas,1,3.192184906,Existing NG-CC 988,NG-CC,Existing,17521.574534033374,2660008.0910792723,6985762.251885685,SO X5
39.85905,PJM_AP,-79.91815,Gas,1,3.348843429,Existing NG-CC 990,NG-CC,Existing,99614.67482270073,16227617.281822132,35452512.207340404,SO X5
39.8592,PJM_AP,-79.9182,Gas,1,3.505501953,Existing NG-CC 989,NG-CC,Existing,17521.574534033374,2660008.0910792723,7671423.785993852,SO X5
39.86248,PJM_EMAC,-75.33577,Gas,5,17.93124232,Existing NG-CC 843,NG-CC,Existing,20973.55403858749,3527564.6830057646,52038907.35275967,SO X5
