longitude,latitude,fuel,zone,status,node,tech,ave_marg_damages_isrm_LePeule,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-74.96519,39.375774,Gas,PJM_EMAC,Existing,5,NG-CT,9.075311829,Existing NG-CT 407,1351.0,188175.00058382502,948072.0024683522,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.3125208,Existing NG-CC 928,16286.999999999956,2428409.999762093,12611525.966588987,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.360245321,Existing NG-CC 930,17622.0,2627459.9997426,13748419.779394412,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.366125242,Existing NG-CC 932,68329.23329398043,10190568.324179817,42606083.14071466,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.419729684,Existing NG-CC 929,16808.0,2505919.999689625,13235085.387456259,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.434402293,Existing NG-CC 933,67827.46303507553,10127773.057813251,42851022.96197454,MO EM190 X5
-74.74249,40.14695,Gas,PJM_EMAC,Existing,5,NG-CC,6.508559264,Existing NG-CC 931,17424.0,2597759.99967825,13909985.992712507,MO EM190 X5
-74.211871,40.624411,Gas,PJM_EMAC,Existing,5,NG-CC,19.3843234,Existing NG-CC 150,7295.275729414783,923553.6305446193,14728399.999359127,MO EM190 X5
-74.211871,40.624411,Gas,PJM_EMAC,Existing,5,NG-CC,19.43511979,Existing NG-CC 149,31276.372399697866,4581289.445904554,57333414.58206627,MO EM190 X5
-74.211871,40.624411,Gas,PJM_EMAC,Existing,5,NG-CC,19.48591618,Existing NG-CC 151,6967.1,875595.0005225325,14036761.051462404,MO EM190 X5
-74.211871,40.624411,Gas,PJM_EMAC,Existing,5,NG-CC,19.85026591,Existing NG-CC 147,6966.113844998457,875521.0388981565,14298014.043060541,MO EM190 X5
-74.211871,40.624411,Gas,PJM_EMAC,Existing,5,NG-CC,19.86409061,Existing NG-CC 146,30618.20084199755,4503552.658044817,57536005.56473197,MO EM190 X5
