,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
t12,1355.92,1306.3,364.78,1848.62,2624.15,3305.79,897.43,1525.92,0,0,0,0,0,0,0
t13,1320.21,1296.54,344.72,1860.84,2637.08,3293.44,907.44,1546,0,0,0,0,0,0,0
t14,1297.18,1299.72,356.74,1901.48,2671.34,3281.92,900.19,1574.68,0,0,0,0,0,0,0
t15,1286.41,1304.16,381.63,1895.44,2677.64,3220.56,892.17,1568.34,0,0,0,0,0,0,0
t16,1294.16,1310.6,404.92,1885.18,2669.33,3198.29,889.84,1575.6,0,0,0,0,0,0,0
t17,1315.8,1322.38,462.17,1917.16,2689.87,3239.48,898.49,1613.32,0,0,0,0,0,0,0
t18,1360.65,1352.19,559.79,1947.95,2725.54,3310.47,909.61,1659.49,0,0,0,0,0,0,0
t19,1377.95,1362.96,635.57,1960.3,2729.25,3340.35,917.54,1686.01,0,0,0,0,0,0,0
t20,1385.82,1366.01,660.77,1960.32,2723.88,3341.71,912.6,1682.72,0,0,0,0,0,0,0
t21,1345.8,1309.63,645.75,1894.86,2636.05,3233.48,876.39,1618.34,0,0,0,0,0,0,0
t22,1263.61,1219.81,618.26,1785.78,2498.73,3031.86,825.17,1511.47,0,0,0,0,0,0,0
t23,1153.1,1117.73,575.61,1652.17,2330.43,2774,764.31,1380.51,0,0,0,0,0,0,0
t24,1079.79,1029.8,533.69,1533.28,2173.14,2533.67,706.46,1267.33,0,0,0,0,0,0,0
t1,1269.76,1176.95,646.43,1744.01,2478.06,2986.41,793.6,1427.35,0,0,0,0,0,0,0
t2,1262.67,1162.81,636.46,1698.4,2416.63,2918.59,763.69,1387.73,0,0,0,0,0,0,0
t3,1260.03,1169.12,637.03,1699.64,2399.36,2889.4,755.88,1379.33,0,0,0,0,0,0,0
t4,1273.11,1180.5,643.28,1718.64,2425.64,2908.79,752.1,1389.65,0,0,0,0,0,0,0
t5,1314.87,1226.8,661.01,1780.24,2511.43,2983.6,773.78,1444.28,0,0,0,0,0,0,0
t6,1443.19,1336.9,704.48,1927.89,2698.01,3214.16,835.13,1564.04,0,0,0,0,0,0,0
t7,1585.71,1506.35,778.75,2152.81,2981.49,3605.63,927.1,1751.15,0,0,0,0,0,0,0
t8,1684.77,1608.32,833.24,2284.6,3180.34,3882.48,990.67,1865.65,0,0,0,0,0,0,0
t9,1702.02,1623.31,830.34,2295.19,3229.97,3962.58,1025.19,1876.47,0,0,0,0,0,0,0
t10,1662.33,1599.92,783.41,2253.44,3188.52,3930.66,1031.62,1823.51,0,0,0,0,0,0,0
t11,1637.62,1578.07,726.91,2198.26,3177.77,3807.64,1017.64,1703.71,0,0,0,0,0,0,0
t12,1593.65,1557.42,668.3,2128.23,3186.02,3636.84,1001.82,1639.96,0,0,0,0,0,0,0
t13,1564.01,1529.13,647.94,2004.73,3138.68,3523.41,996.59,1618.87,0,0,0,0,0,0,0
t14,1553.4,1516.52,681.96,1991.36,3037.05,3502.33,980.95,1616.86,0,0,0,0,0,0,0
t15,1566.09,1510.2,717.3,2043.31,3035.53,3526.98,986.3,1670.45,0,0,0,0,0,0,0
t16,1616.49,1546.89,768.18,2151.33,3116.24,3673.84,996.69,1780.37,0,0,0,0,0,0,0
t17,1695.44,1629.44,817.47,2318.73,3266.41,3935.34,1041.09,1930.64,0,0,0,0,0,0,0
t18,1808.37,1747.44,859.17,2478.97,3437.88,4248.46,1113.56,2092.73,0,0,0,0,0,0,0
t19,1778.08,1736.24,857.76,2458.59,3395.97,4260.45,1108.61,2085.54,0,0,0,0,0,0,0
t20,1721.13,1666.23,827.24,2380.43,3287.73,4114.71,1068.62,2012.02,0,0,0,0,0,0,0
