index,type,location_node,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,c2,c1,c0,SUcost,SDcost,RUrate,RDrate,UPtime,DNtime,Zone,PlannedRetirementYear,CO2mtonperMWh,SO2mtonperMWh,NOxmtonperMWh,PM25mtonperMWh,*Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,Owner Name,Owner Percent,Holding Company,Holding Company Percent,Latitude,Longitude,ave_marg_damages_isrm_Krewski,ave_marg_damages_isrm_LePeule,ave_marg_damages_imputed
985,Combined Cycle,9,0,0,0,0,0,1,0,168,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2028,0.877847527,0.001864909,0.021010779,3.83E-05,"Waterford Power, LLC",55503_G_CTG2,55503,G,CTG2,8622,Combined Cycle,,PJM_West,Ohio,39,Washington,167,39167,168,7050,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009282072,0.009282072,0.009282072,0.009282072,,,,,,,,,,,,Waterford Power LLC,100,ArcLight Capital Partners LLC,100,39.53305,-81.71694,0.618027877,1.390103444,FALSE
986,Combined Cycle,9,0,0,0,0,0,1,0,168,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2028,0.877847527,0.001864909,0.021010779,3.83E-05,"Waterford Power, LLC",55503_G_CTG3,55503,G,CTG3,8624,Combined Cycle,,PJM_West,Ohio,39,Washington,167,39167,168,7050,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009282072,0.009282072,0.009282072,0.009282072,,,,,,,,,,,,Waterford Power LLC,100,ArcLight Capital Partners LLC,100,39.5325,-81.71694,0.643512455,1.447889442,FALSE
987,Combined Cycle,9,0,0,0,0,0,1,0,362,0,0,56.392,0,0,0,400,400,8,6,PJM_West,2036,0.877847527,0.001864909,0.021010779,3.83E-05,"Waterford Power, LLC",55503_G_ST1,55503,G,ST1,8620,Combined Cycle,,PJM_West,Ohio,39,Washington,167,39167,362,7050,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.009282072,0.009282072,0.009282072,0.009282072,,,,,,,,,,,,Waterford Power LLC,100,ArcLight Capital Partners LLC,100,39.53296,-81.71694,0.630787789,1.418956326,FALSE
988,Combined Cycle,1,0,0,0,0,0,1,0,174,0,0,56.392,0,0,0,400,400,8,6,PJM_AP,2028,0.877847527,0.001864909,0.021010779,3.83E-05,Fayette Energy Facility,55516_G_CTG1,55516,G,CTG1,10129,Combined Cycle,,PJM_AP,Pennsylvania,42,Fayette,51,42051,174,7222,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.007055541,0.007055541,0.007055541,0.007055541,,,,,,,,,,,,Fayette Power Co LLC,100,Vistra Energy,100,39.8589,-79.9181,1.419453154,3.192184906,FALSE
989,Combined Cycle,1,0,0,0,0,0,1,0,174,0,0,56.392,0,0,0,400,400,8,6,PJM_AP,2028,0.877847527,0.001864909,0.021010779,3.83E-05,Fayette Energy Facility,55516_G_CTG2,55516,G,CTG2,10130,Combined Cycle,,PJM_AP,Pennsylvania,42,Fayette,51,42051,174,7222,2003,9999,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.007055541,0.007055541,0.007055541,0.007055541,,,,,,,,,,,,Fayette Power Co LLC,100,Vistra Energy,100,39.8592,-79.9182,1.558909697,3.505501953,FALSE
990,Combined Cycle,1,0,0,0,0,0,1,0,314,0,0,56.392,0,0,0,400,400,8,6,PJM_AP,2037,0.877847527,0.001864909,0.021010779,3.83E-05,Fayette Energy Facility,55516_G_STG1,55516,G,STG1,10129,Combined Cycle,,PJM_AP,Pennsylvania,42,Fayette,51,42051,314,7222,2003,9999,,,N,Natural Gas,,,,NH3,SCR,,,,,,,,,0.007055541,0.007055541,0.007055541,0.007055541,,,,,,,,,,,,Fayette Power Co LLC,100,Vistra Energy,100,39.85905,-79.91815,1.489181425,3.348843429,FALSE
991,Combined Cycle,5,0,0,0,0,0,1,0,113,0,0,56.392,0,0,0,400,400,8,6,PJM_EMAC,2036,0.877847527,0.001864909,0.021010779,3.83E-05,York Energy Center,55524_G_CTG1,55524,G,CTG1,4937,Combined Cycle,,PJM_EMAC,Pennsylvania,42,York,133,42133,113,7956,2011,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,,0.0076162,0.0076162,0.0076162,0.0076162,,,,,,,,,,,,Calpine Mid Merit LLC,100,Energy Capital Partners,100,39.73872,-76.30826,13.99023128,31.46051817,FALSE
992,Combined Cycle,5,0,0,0,0,0,1,0,122,0,0,56.392,0,0,0,400,400,8,6,PJM_EMAC,2036,0.877847527,0.001864909,0.021010779,3.83E-05,York Energy Center,55524_G_CTG2,55524,G,CTG2,4938,Combined Cycle,,PJM_EMAC,Pennsylvania,42,York,133,42133,122,7956,2011,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,,0.0076162,0.0076162,0.0076162,0.0076162,,,,,,,,,,,,Calpine Mid Merit LLC,100,Energy Capital Partners,100,39.73872,-76.30826,11.99221024,26.96637334,FALSE
993,Combined Cycle,5,0,0,0,0,0,1,0,122,0,0,56.392,0,0,0,400,400,8,6,PJM_EMAC,2036,0.877847527,0.001864909,0.021010779,3.83E-05,York Energy Center,55524_G_CTG3,55524,G,CTG3,4939,Combined Cycle,,PJM_EMAC,Pennsylvania,42,York,133,42133,122,7956,2011,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,,0.0076162,0.0076162,0.0076162,0.0076162,,,,,,,,,,,,Calpine Mid Merit LLC,100,Energy Capital Partners,100,39.73872,-76.30826,13.85176913,31.14855732,FALSE
994,Combined Cycle,5,0,0,0,0,0,1,0,188,0,0,56.392,0,0,0,400,400,8,6,PJM_EMAC,2045,0.877847527,0.001864909,0.021010779,3.83E-05,York Energy Center,55524_G_STG1,55524,G,STG1,4937,Combined Cycle,,PJM_EMAC,Pennsylvania,42,York,133,42133,188,7956,2011,9999,other,,N,"Natural Gas, Distillate Fuel Oil",,,,,SCR,,,,,,,,,0.0076162,0.0076162,0.0076162,0.0076162,,,,,,,,,,,,Calpine Mid Merit LLC,100,Energy Capital Partners,100,39.73872,-76.30826,13.27807022,29.85848294,FALSE
