datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,RFC,5694.377
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,MIDATL,245.682
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,SOUTH,299.353
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,WEST,5065.345
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,RTO,5610.380
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,RFC,5311.027
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,MIDATL,272.293
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,SOUTH,301.046
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,WEST,4859.693
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,RTO,5433.032
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,RFC,5131.986
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,MIDATL,289.390
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,SOUTH,291.022
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,WEST,4592.352
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,RTO,5172.764
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,RFC,4881.742
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,MIDATL,295.231
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,SOUTH,279.813
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,WEST,4292.227
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,RTO,4867.271
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,RFC,4587.458
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,MIDATL,327.410
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,SOUTH,275.194
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,WEST,3961.625
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,RTO,4564.229
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,RFC,4289.035
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,MIDATL,350.702
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,SOUTH,282.892
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,WEST,3826.212
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,RTO,4459.806
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,RFC,4176.914
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,MIDATL,319.712
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,SOUTH,282.262
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,WEST,3526.884
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,RTO,4128.858
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,RFC,3846.596
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,MIDATL,245.831
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,SOUTH,272.812
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,WEST,3320.105
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,RTO,3838.748
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,RFC,3565.936
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,MIDATL,243.872
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,SOUTH,95.516
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,WEST,3381.909
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,RTO,3721.297
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,RFC,3625.781
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,MIDATL,328.316
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,SOUTH,56.843
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,WEST,3172.526
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,RTO,3557.685
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,RFC,3500.842
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,MIDATL,262.119
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,SOUTH,106.879
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,WEST,3124.884
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,RTO,3493.882
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,RFC,3387.003
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,MIDATL,308.482
