fuel,node,status,unit,tech,latitude,longitude,ave_marg_damages_isrm_LePeule,zone,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Oil,2,Existing,Existing Oil 67,Oil,43.1,-70.790833,13.74748878,NH,9682.21218441475,1285357.5033378424,9016405.400311759,MO OPOI X5
Oil,3,Existing,Existing Oil 50,Oil,43.4011,-72.4203,133.6953449,VT,39.599999999999994,4554.000026730001,263131.35099944205,MO OPOI X5
Oil,3,Existing,Existing Oil 51,Oil,43.603,-72.9923,133.6953449,VT,39.599999999999994,4554.000026730001,263131.35099944205,MO OPOI X5
Oil,3,Existing,Existing Oil 52,Oil,44.251,-72.6027,133.6953449,VT,99.79643470432417,11476.590058359874,677467.0570860666,MO OPOI X5
Oil,3,Existing,Existing Oil 53,Oil,44.4906,-73.1703,133.6953449,VT,54.0,6210.000036450001,358815.4786356027,MO OPOI X5
Oil,3,Existing,Existing Oil 54,Oil,44.4821,-73.1164,133.6953449,VT,31.411893137353893,3612.3677319987264,229326.64883094787,MO OPOI X5
Oil,3,Existing,Existing Oil 55,Oil,44.887379,-72.055357,133.6953449,VT,14.0,1610.00000945,105309.21687967345,MO OPOI X5
Oil,3,Existing,Existing Oil 56,Oil,44.4814,-73.2239,133.6953449,VT,76.5,8797.500051637502,508321.9280671039,MO OPOI X5
Oil,3,Existing,Existing Oil 65,Oil,43.7089,-73.0631,133.6953449,VT,27.599999999999998,3174.0000186300003,183394.577969308,MO OPOI X5
Oil,4,Existing,Existing Oil 31,Oil,42.4433,-73.2058,92.97915266,WCMA,232.0999999999982,26691.500156667298,1289412.3923610644,MO OPOI X5
Oil,4,Existing,Existing Oil 35,Oil,42.336215,-73.235486,46.07783098,WCMA,285.59999999999997,34476.00017646,837975.3925049652,MO OPOI X5
Oil,4,Existing,Existing Oil 58,Oil,42.1978,-72.5106,220.9678966,WCMA,1942.1999996,223353.00126498504,21578983.730462853,MO OPOI X5
Oil,4,Existing,Existing Oil 60,Oil,42.2747,-71.7172,133.6953449,WCMA,42.0,4830.000028350001,279078.7056054688,MO OPOI X5
Oil,4,Existing,Existing Oil 66,Oil,42.1483,-72.5911,133.6953449,WCMA,24.299999999999997,2794.5000164025,161466.9653860212,MO OPOI X5
Oil,6,Existing,Existing Oil 1,Oil,41.2925,-72.7942,72.79641688,CT,239.79999999999,27577.000161863853,1043014.383409146,MO OPOI X5
Oil,6,Existing,Existing Oil 140,Oil,41.0372,-73.5564,133.6953449,CT,14.666665999999964,1686.6665998999956,99099.70205942444,MO OPOI X5
Oil,6,Existing,Existing Oil 145,Oil,41.554444,-72.576666,133.6953449,CT,727.4124092879392,83652.42755911639,4764440.428818789,MO OPOI X5
Oil,6,Existing,Existing Oil 146,Oil,41.2108,-73.1075,133.6953449,CT,591.3929953063947,68010.19485942567,3893005.406523629,MO OPOI X5
Oil,6,Existing,Existing Oil 149,Oil,41.362778,-72.0825,133.6953449,CT,15.59999999999998,1794.000010529996,114814.07937365331,MO OPOI X5
Oil,6,Existing,Existing Oil 150,Oil,41.4711,-72.1022,133.6953449,CT,20.8,2392.0000140400007,126555.42933260837,MO OPOI X5
Oil,6,Existing,Existing Oil 151,Oil,41.3367,-72.02,133.6953449,CT,15.599999999999968,1794.0000105299937,114814.07937365315,MO OPOI X5
Oil,6,Existing,Existing Oil 152,Oil,41.6041,-71.9825,133.6953449,CT,7.800000000000001,897.0000052650003,57407.03968682685,MO OPOI X5
Oil,6,Existing,Existing Oil 153,Oil,41.5694,-72.1175,133.6953449,CT,15.599999999999977,1794.000010529996,114814.07937365334,MO OPOI X5
Oil,6,Existing,Existing Oil 154,Oil,41.5683,-72.2322,133.6953449,CT,15.599999999999962,1794.0000105299914,114814.0793736529,MO OPOI X5
Oil,6,Existing,Existing Oil 155,Oil,41.3469,-72.0411,133.6953449,CT,15.599999999999973,1794.0000105299941,114814.07937365319,MO OPOI X5
Oil,6,Existing,Existing Oil 156,Oil,41.5256,-72.0833,133.6953449,CT,6.0,690.0000040500001,44159.26129755912,MO OPOI X5
Oil,6,Existing,Existing Oil 158,Oil,41.1117,-73.3928,133.6953449,CT,18.0,2070.0000121500007,132477.78389267734,MO OPOI X5
Oil,6,Existing,Existing Oil 172,Oil,41.691389,-72.768611,133.6953449,CT,3.0,345.0000020250001,22079.63064877956,MO OPOI X5
Oil,6,Existing,Existing Oil 179,Oil,41.483611,-72.756389,133.6953449,CT,8.7,1000.5000058725002,64030.92888146071,MO OPOI X5
Oil,6,Existing,Existing Oil 181,Oil,41.542778,-72.093611,133.6953449,CT,20.8,2392.0000140400007,126555.42933260837,MO OPOI X5
Oil,6,Existing,Existing Oil 2,Oil,41.0289,-73.5989,151.8447747,CT,144.9999996,16675.000051875002,1094281.2962807482,MO OPOI X5
Oil,6,Existing,Existing Oil 3,Oil,41.209797,-73.108976,21.94525142,CT,4398.611581993884,566032.7975761903,6289044.668244803,MO OPOI X5
Oil,6,Existing,Existing Oil 4,Oil,41.4281,-72.1019,131.7203012,CT,2904.432897069907,334009.7851235316,20715904.7736372,MO OPOI X5
Oil,6,Existing,Existing Oil 61,Oil,41.283997,-72.904323,49.37634365,CT,7241.94867729187,841441.2155685538,22010087.426216822,MO OPOI X5
Oil,6,Existing,Existing Oil 7,Oil,41.554944,-72.579075,19.18844466,CT,9019.539758312374,1172660.6672724716,11456496.888070706,MO OPOI X5
Oil,7,Existing,Existing Oil 93,Oil,41.744973,-71.458415,133.6953449,RI,20.0,2300.0000135000005,121687.91281981574,MO OPOI X5
Oil,8,Existing,Existing Oil 105,Oil,42.3436,-71.0559,133.6953449,SEMA,6.0,690.0000040500001,44159.26129755912,MO OPOI X5
Oil,8,Existing,Existing Oil 120,Oil,42.293927,-71.308111,133.6953449,SEMA,8.7,1000.5000058725002,64030.92888146071,MO OPOI X5
Oil,8,Existing,Existing Oil 182,Oil,42.297949,-71.436065,133.6953449,SEMA,6.0,690.0000040500001,44159.26129755912,MO OPOI X5
Oil,8,Existing,Existing Oil 23,Oil,42.140028,-71.446441,440.3672816,SEMA,187.26399566135606,21535.359627459147,4033083.503614623,MO OPOI X5
Oil,8,Existing,Existing Oil 26,Oil,41.425786,-70.608273,133.6953449,SEMA,16.2,1863.000010935,98567.20938405073,MO OPOI X5
Oil,8,Existing,Existing Oil 27,Oil,41.7694,-70.5097,7.809595005,SEMA,19669.925289686642,2529037.111699885,9739861.378571808,MO OPOI X5
Oil,8,Existing,Existing Oil 30,Oil,41.7103,-71.1931,133.6953449,SEMA,1528.4999996000001,175777.50098573754,10241082.114228329,MO OPOI X5
Oil,8,Existing,Existing Oil 37,Oil,42.235,-70.9672,34.13986798,SEMA,40.5,4873.500025177501,87445.06410017863,MO OPOI X5
Oil,8,Existing,Existing Oil 40,Oil,42.6986,-70.8697,133.6953449,SEMA,7.199999999999999,828.0000048600001,52991.11355707093,MO OPOI X5
Oil,8,Existing,Existing Oil 57,Oil,41.392486,-70.620089,133.6953449,SEMA,10.8,1242.0000072900002,65711.47292270049,MO OPOI X5
Oil,8,Existing,Existing Oil 63,Oil,42.5131,-70.8583,133.6953449,SEMA,10.8,1242.0000072900002,65711.47292270049,MO OPOI X5
Oil,8,Existing,Existing Oil 73,Oil,42.339387,-71.031407,535.74911,SEMA,4.666666399999997,536.6666391499996,113780.90269347899,MO OPOI X5
