latitude,ave_marg_damages_isrm_LePeule,longitude,tech,fuel,zone,node,unit,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
43.7644,133.6953449,-71.6881,Oil,Oil,NH,2,Existing Oil 116,Existing,39.199999999999996,11760.00002548,843337.8753797512,SO
43.8478,133.6953449,-71.2069,Oil,Oil,NH,2,Existing Oil 48,Existing,241.8,72540.00015717,5121281.868769624,SO
44.251,133.6953449,-72.6027,Oil,Oil,VT,3,Existing Oil 52,Existing,334.4,100320.00021736,6040920.398898751,SO
44.3331,133.6953449,-69.2019,Oil,Oil,ME,1,Existing Oil 90,Existing,28.0,8400.0000182,602384.1966998223,SO
44.4814,133.6953449,-73.2239,Oil,Oil,VT,3,Existing Oil 56,Existing,204.0,61200.0001326,3685250.482581774,SO
44.4821,133.6953449,-73.1164,Oil,Oil,VT,3,Existing Oil 54,Existing,64.0,19200.0000416,1156157.0141433016,SO
44.4906,133.6953449,-73.1703,Oil,Oil,VT,3,Existing Oil 53,Existing,144.0,43200.0000936,2601353.281822429,SO
44.595117,133.6953449,-71.494398,Oil,Oil,NH,2,Existing Oil 43,Existing,236.72064491195738,71016.19362745564,5026419.770267662,SO
44.887379,133.6953449,-72.055357,Oil,Oil,VT,3,Existing Oil 55,Existing,22.4,6720.00001456,404654.9549501556,SO
44.9136,133.6953449,-67.0033,Oil,Oil,ME,1,Existing Oil 15,Existing,28.0,8400.0000182,602384.1966998223,SO
45.253333,28.317600000000002,-69.233333,NG-CT,Gas,ME,1,New NG-CT 1,New,6979.793949882153,2415008.705437761,27063157.256622676,SO
