latitude,zone,ave_marg_damages_isrm_LePeule,fuel,longitude,node,status,unit,tech,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
40.42083,PJM_WMAC,11.76790149,Gas,-75.9375,8,Existing,Existing NG-CC 810,NG-CC,19645.5,5332349.999999997,45860857.892700754,MO
40.42083,PJM_WMAC,11.77948633,Gas,-75.9375,8,Existing,Existing NG-CC 809,NG-CC,9351.198040171992,2529359.4120515967,24512053.819483537,MO
40.545,PJM_AP,9.758405555,Gas,-79.76917,1,Existing,Existing NG-CC 1027,NG-CC,7348.0,1907139.999999999,15311024.168047417,MO
40.545,PJM_AP,10.58381714,Gas,-79.76917,1,Existing,Existing NG-CC 1028,NG-CC,22858.3333332,5963666.6666239975,41440372.6019044,MO
40.545,PJM_AP,11.40922873,Gas,-79.76917,1,Existing,Existing NG-CC 1026,NG-CC,7014.0,1820299.999999999,17086065.215393987,MO
40.61842,PJM_WMAC,9.493148215,Gas,-75.313775,8,Existing,Existing NG-CC 1020,NG-CC,7239.0,1976119.999999999,15433569.38775575,MO
40.61842,PJM_WMAC,9.493148215,Gas,-75.313775,8,Existing,Existing NG-CC 1022,NG-CC,33411.456018522935,9149836.805556877,57197393.297847874,MO
40.624411,PJM_EMAC,19.3843234,Gas,-74.211871,5,Existing,Existing NG-CC 150,NG-CC,8473.5,2255833.999999999,35974982.26991065,MO
40.624411,PJM_EMAC,19.43511979,Gas,-74.211871,5,Existing,Existing NG-CC 149,NG-CC,32899.200000000004,8763583.999999996,111788344.38665032,MO
40.624411,PJM_EMAC,19.48591618,Gas,-74.211871,5,Existing,Existing NG-CC 151,NG-CC,8473.5,2255833.999999999,36163526.300250694,MO
40.624411,PJM_EMAC,19.85026591,Gas,-74.211871,5,Existing,Existing NG-CC 147,NG-CC,8473.5,2255833.999999999,36839715.75532328,MO
40.624411,PJM_EMAC,19.86409061,Gas,-74.211871,5,Existing,Existing NG-CC 146,NG-CC,32881.87673134896,8758040.554031678,114200114.32703386,MO
40.624411,PJM_EMAC,19.8779153,Gas,-74.211871,5,Existing,Existing NG-CC 148,NG-CC,8371.817451580191,2223295.58450566,36358909.15054324,MO
40.73799,PJM_EMAC,84.30951116,Gas,-74.097155,5,Existing,Existing NG-CT 139,NG-CT,234.5,51589.99999999997,1721255.8002544346,MO
40.73799,PJM_EMAC,84.41651762,Gas,-74.097155,5,Existing,Existing NG-CT 140,NG-CT,234.5,51589.99999999997,1723440.4350293907,MO
40.73799,PJM_EMAC,84.45006042,Gas,-74.097155,5,Existing,Existing NG-CT 138,NG-CT,234.5,51589.99999999997,1724125.2419777694,MO
40.73799,PJM_EMAC,84.76556683,Gas,-74.097155,5,Existing,Existing NG-CT 141,NG-CT,234.5,51589.99999999997,1730566.593976589,MO
40.73799,PJM_EMAC,85.9958989,Gas,-74.097155,5,Existing,Existing NG-CT 137,NG-CT,234.5,51589.99999999997,1755684.9487456921,MO
40.73799,PJM_EMAC,87.1882248,Gas,-74.097155,5,Existing,Existing NG-CT 136,NG-CT,234.49999999997453,51589.99999999437,1780027.372784393,MO
40.8022,PJM_WMAC,9.956977323,Gas,-75.1072,8,Existing,Existing NG-CC 1012,NG-CC,10750.199999999999,2934615.999999998,24039288.126830235,MO
40.8022,PJM_WMAC,9.985430136,Gas,-75.1072,8,Existing,Existing NG-CC 1014,NG-CC,36736.87132259922,10048614.76422189,66077398.78038322,MO
40.8022,PJM_WMAC,10.01388295,Gas,-75.1072,8,Existing,Existing NG-CC 1013,NG-CC,10750.199999999999,2934615.9999999986,24176676.283809464,MO
40.8396,PJM_EMAC,94.45324995,Gas,-74.025002,5,Existing,Existing NG-CC 126,NG-CC,1418.4,312047.9999999999,24248289.74791169,MO
40.8396,PJM_EMAC,94.77943172,Gas,-74.025002,5,Existing,Existing NG-CC 127,NG-CC,4018.799999999993,884135.9999999979,61039874.93225177,MO
40.8396,PJM_EMAC,95.1056135,Gas,-74.025002,5,Existing,Existing NG-CC 125,NG-CC,1418.3999999999528,312047.99999998946,24415766.25496331,MO
41.201997,PJM_WMAC,10.61978306,Gas,-76.070093,8,Existing,Existing NG-CC 347,NG-CC,5335.0,1457909.9999999993,11359879.462722877,MO
41.201997,PJM_WMAC,11.42180143,Gas,-76.070093,8,Existing,Existing NG-CC 346,NG-CC,5215.199999999899,1417943.999999976,11852879.091787571,MO
41.20334,PJM_WMAC,24.75900568,Gas,-76.06848,8,Existing,Existing NG-CT 1089,NG-CT,3.126388037344441e-13,9.688250202088962e-11,1.9734282878659136e-09,MO
41.2908,PJM_PENE,4.256989655,Gas,-79.8061,6,Existing,Existing NG-CT 849,NG-CT,53.5,11769.999999999993,41221.316829386895,MO
41.37778,PJM_ATSI,6.619972007,Gas,-83.1655,2,Existing,Existing NG-CC 1024,NG-CC,21951.0,6243839.999999996,25923148.380622324,MO
41.37778,PJM_ATSI,8.079041113,Gas,-83.1655,2,Existing,Existing NG-CC 1023,NG-CC,54674.53863223015,14763835.096746352,70702927.5859977,MO
41.37778,PJM_ATSI,9.538110219,Gas,-83.1655,2,Existing,Existing NG-CC 1025,NG-CC,19349.399999999998,4917023.999999997,30505281.75572638,MO
41.39327,PJM_COMD,10.53271152,Gas,-87.94502,3,Existing,Existing NG-CT 832,NG-CT,38.441671102780674,8457.167642611745,73283.79188170192,MO
41.41324667,PJM_COMD,13.44148982,Gas,-88.33022667,3,Existing,Existing NG-CC 830,NG-CC,11951.555538759401,4220112.401270163,41671121.293887414,MO
41.47684,PJM_ATSI,6.614370536,Gas,-83.46102,2,Existing,Existing NG-CT 941,NG-CT,178.5,39269.999999999985,213693.94928962304,MO
41.47684,PJM_ATSI,7.076490561,Gas,-83.46102,2,Existing,Existing NG-CT 943,NG-CT,173.4,38147.999999999985,222091.7925523031,MO
41.47684,PJM_ATSI,7.389630692,Gas,-83.46102,2,Existing,Existing NG-CT 942,NG-CT,173.1,38081.99999999998,231518.27973960957,MO
41.47684,PJM_ATSI,7.850650805,Gas,-83.46102,2,Existing,Existing NG-CT 944,NG-CT,176.1,38741.99999999998,250224.88653374655,MO
41.48058,PJM_COMD,13.75738347,Gas,-88.25838,3,Existing,Existing NG-CC 790,NG-CC,14537.207186036905,5127106.299531808,58029785.90534747,MO
41.48058,PJM_COMD,13.75738347,Gas,-88.25838,3,Existing,Existing NG-CC 794,NG-CC,22541.04809892693,7933920.097004138,80089016.1839101,MO
41.4806,PJM_COMD,10.95323383,Gas,-88.25748,3,Existing,Existing NG-CC 791,NG-CC,17725.633899683697,6524202.847898781,58791239.73849354,MO
41.4806,PJM_COMD,10.95323383,Gas,-88.25748,3,Existing,Existing NG-CC 795,NG-CC,25968.29594174155,9317844.345166583,75583533.14411467,MO
41.48061,PJM_COMD,13.69802891,Gas,-88.25705,3,Existing,Existing NG-CC 792,NG-CC,14951.21676218666,5288451.002480787,59597681.80632579,MO
41.48061,PJM_COMD,13.69802891,Gas,-88.25705,3,Existing,Existing NG-CC 796,NG-CC,23395.82863423552,8231565.156337608,82764109.5573109,MO
41.48064,PJM_COMD,12.27134763,Gas,-88.25614,3,Existing,Existing NG-CC 793,NG-CC,16175.867964219708,5827032.908660424,58827790.04519482,MO
41.48064,PJM_COMD,12.27134763,Gas,-88.25614,3,Existing,Existing NG-CC 797,NG-CC,24760.11861541261,8803744.725713953,79606559.69901195,MO
41.71217,PJM_COMD,7.729298667,Gas,-90.27933,3,Existing,Existing NG-CC 807,NG-CC,42588.02303394956,15514436.381775869,88452904.40725486,MO
41.774885,PJM_COMD,8.098491983,Gas,-89.6075,3,Existing,Existing NG-CC 801,NG-CC,55688.55048818666,19990040.57606051,106923884.11547707,MO
41.774885,PJM_COMD,8.098491983,Gas,-89.6075,3,Existing,Existing NG-CC 803,NG-CC,46396.385174311916,16815320.764839076,85601307.43671897,MO
41.774895,PJM_COMD,8.229878788,Gas,-89.606175,3,Existing,Existing NG-CC 802,NG-CC,53199.263807474716,18983850.3995823,103827094.61998874,MO
41.774895,PJM_COMD,8.229878788,Gas,-89.606175,3,Existing,Existing NG-CC 804,NG-CC,44137.86425648637,15983705.864081034,83380217.37041384,MO
41.82875,PJM_COMD,14.5452821,Gas,-89.405,3,Existing,Existing NG-CT 851,NG-CT,18.233333200000004,4011.3333039999993,29468.68190816553,MO
41.82875,PJM_COMD,15.30734507,Gas,-89.405,3,Existing,Existing NG-CT 852,NG-CT,18.233333200000004,4011.3333039999993,31012.618361410525,MO
