Scenario,Emission Components,Epoch,Emission (mt),Emission (mt) Percentage Difference (%)
MO X5,NOx,3,4886596.571416678,85.89039787602495
MO X5,NOx,4,7448825.021358091,183.3598040461351
MO X5,PM25,1,4865.5137199409255,0.0
MO X5,PM25,2,5269.35436138274,8.300061713662526
MO X5,PM25,3,7404.835940272841,52.19021806319656
MO X5,PM25,4,10242.68832102904,110.51607107899393
MO X5,SO2,1,252971.27497270983,0.0
MO X5,SO2,2,294080.37373293284,16.250500680228537
MO X5,SO2,3,440358.7397946755,74.07460188599704
MO X5,SO2,4,655017.2012304949,158.92947778405164
SO,CO2,1,252296747.325927,0.0
SO,CO2,2,231026128.54012793,-8.430793900930013
SO,CO2,3,305913583.24469095,21.2514970910424
SO,CO2,4,379292723.9593565,50.33595477525956
SO,NOx,1,3674370.151963718,0.0
SO,NOx,2,3992702.835802552,8.663598676053512
SO,NOx,3,6137842.240338806,67.04474471790815
SO,NOx,4,9363439.409821544,154.83114173506388
SO,PM25,1,11567.680001249608,0.0
SO,PM25,2,10051.16419676755,-13.109939108950416
SO,PM25,3,12467.276843195134,7.776812998357026
SO,PM25,4,13881.008175542309,19.99820339119687
SO,SO2,1,687511.2117903827,0.0
SO,SO2,2,605086.3863622576,-11.988870001622
SO,SO2,3,772463.4281761579,12.356484509473928
SO,SO2,4,892120.4831942638,29.760863225931644
SO X5,CO2,1,286256985.4815194,0.0
SO X5,CO2,2,291897379.18159205,1.9703951296017497
SO X5,CO2,3,394596084.01928407,37.84679642158776
SO X5,CO2,4,505981389.51089233,76.75774397601843
SO X5,NOx,1,4439412.344320894,0.0
SO X5,NOx,2,5415443.587213893,21.98559555166315
SO X5,NOx,3,8380317.996101546,88.77088556151006
SO X5,NOx,4,12570748.258486535,183.16243870807878
SO X5,PM25,1,12912.2582333046,0.0
SO X5,PM25,2,12356.873497302364,-4.30122079319736
SO X5,PM25,3,15695.772479781892,21.557145126619073
SO X5,PM25,4,18266.40586894007,41.465617701367776
SO X5,SO2,1,768691.811258853,0.0
SO X5,SO2,2,751007.6504523911,-2.300552776476341
SO X5,SO2,3,977817.8794678972,27.205450239747925
SO X5,SO2,4,1194328.3166264826,55.37154151162134
