unit,node,zone,tech,status,latitude,ave_marg_damages_isrm_LePeule,fuel,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
Existing Oil 40,8,SEMA,Oil,Existing,42.6986,133.6953449,Oil,-70.8697,4.8,407.9999999999998,21586.377451768993,MO X5
Existing Oil 43,2,NH,Oil,Existing,44.595117,133.6953449,Oil,-71.494398,467.99999999999363,2339.999999999917,151444.7507123907,MO X5
Existing Oil 45,2,NH,Oil,Existing,43.1411,105.4654119,Oil,-71.4692,1297.738662924483,12099.786348580905,568201.4517817801,MO X5
Existing Oil 47,2,NH,Oil,Existing,43.0978,20.39510344,Oil,-70.7842,1315.2540352259614,16752.27017612967,163831.24934352867,MO X5
Existing Oil 48,2,NH,Oil,Existing,43.8478,133.6953449,Oil,-71.2069,479.50769160765435,2397.5384580382192,155111.23865695263,MO X5
Existing Oil 5,6,CT,Oil,Existing,41.555425,242.6216617,Oil,-72.041829,203.5,1017.4999999999778,102601.32599190596,MO X5
Existing Oil 50,3,VT,Oil,Existing,43.4011,133.6953449,Oil,-72.4203,369.59999999999906,1847.999999999955,116471.83339214615,MO X5
Existing Oil 51,3,VT,Oil,Existing,43.603,133.6953449,Oil,-72.9923,369.59999999999997,1847.9999999999595,116471.83339214641,MO X5
Existing Oil 52,3,VT,Oil,Existing,44.251,133.6953449,Oil,-72.6027,1128.6,5642.999999999875,350815.59923017916,MO X5
Existing Oil 53,3,VT,Oil,Existing,44.4906,133.6953449,Oil,-73.1703,504.0,2519.9999999999445,158825.22735292694,MO X5
Existing Oil 54,3,VT,Oil,Existing,44.4821,133.6953449,Oil,-73.1164,232.0,1159.9999999999745,74988.64957932946,MO X5
Existing Oil 55,3,VT,Oil,Existing,44.887379,133.6953449,Oil,-72.055357,81.19999999999999,405.999999999991,26246.02735276531,MO X5
Existing Oil 56,3,VT,Oil,Existing,44.4814,133.6953449,Oil,-73.2239,702.0567621451805,3510.2838107258253,219855.9918860461,MO X5
Existing Oil 57,8,SEMA,Oil,Existing,41.392486,133.6953449,Oil,-70.620089,10.8,917.9999999999995,48569.34926648024,MO X5
Existing Oil 58,4,WCMA,Oil,Existing,42.1978,220.9678966,Oil,-72.5106,11213.436887196256,56067.18443598006,5563991.983522402,MO X5
Existing Oil 6,6,CT,Oil,Existing,41.798943,206.9482785,Oil,-73.116267,239.8,1198.9999999999736,103126.4300475146,MO X5
Existing Oil 60,4,WCMA,Oil,Existing,42.2747,133.6953449,Oil,-71.7172,364.0,1819.99999999996,115100.42084241414,MO X5
Existing Oil 61,6,CT,Oil,Existing,41.283997,49.37634365,Oil,-72.904323,27384.079995263117,290880.39997631265,6435783.808769914,MO X5
Existing Oil 63,8,SEMA,Oil,Existing,42.5131,133.6953449,Oil,-70.8583,10.8,917.9999999999995,48569.34926648024,MO X5
Existing Oil 65,3,VT,Oil,Existing,43.7089,133.6953449,Oil,-73.0631,262.7123771080147,1313.5618855400448,83988.92833115387,MO X5
Existing Oil 66,4,WCMA,Oil,Existing,42.1483,133.6953449,Oil,-72.5911,210.6,1052.9999999999768,66593.81491596818,MO X5
Existing Oil 67,2,NH,Oil,Existing,43.1,13.74748878,Oil,-70.790833,28927.721983342428,382600.514990479,2480018.7629878726,MO X5
Existing Oil 7,6,CT,Oil,Existing,41.554944,19.18844466,Oil,-72.579075,25804.828289682097,331712.1414484078,3040497.2775371526,MO X5
Existing Oil 73,8,SEMA,Oil,Existing,42.339387,535.74911,Oil,-71.031407,4.666666399999997,23.333331999999473,4946.995740244872,MO X5
Existing Oil 82,8,SEMA,Oil,Existing,42.353333,133.6953449,Oil,-70.962778,104.0,8839.999999999995,467704.84478832816,MO X5
Existing Oil 90,1,ME,Oil,Existing,44.3331,133.6953449,Oil,-69.2019,46.0,229.99999999999494,14947.61196140597,MO X5
Existing Oil 93,7,RI,Oil,Existing,41.744973,133.6953449,Oil,-71.458415,180.0,899.9999999999802,51271.37066020594,MO X5
