longitude,tech,ave_marg_damages_isrm_LePeule,zone,fuel,node,status,latitude,unit,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
-72.2322,Oil,133.6953449,CT,Oil,6,Existing,41.5683,Existing Oil 154,478.40000000000003,10841.999999999953,791748.4854272986,SO X5
-72.1175,Oil,133.6953449,CT,Oil,6,Existing,41.5694,Existing Oil 153,478.40000000000003,10841.99999999995,791748.4854272986,SO X5
-72.1022,Oil,133.6953449,CT,Oil,6,Existing,41.4711,Existing Oil 150,946.4,21631.99999999991,1580745.7658852544,SO X5
-72.1019,Oil,131.7203012,CT,Oil,6,Existing,41.4281,Existing Oil 4,21562.341364503034,328803.706758513,20694533.64389461,SO X5
-72.093611,Oil,133.6953449,CT,Oil,6,Existing,41.542778,Existing Oil 181,946.4,21631.99999999991,1580745.7658852544,SO X5
-72.0833,Oil,133.6953449,CT,Oil,6,Existing,41.5256,Existing Oil 156,184.5405782238597,4172.70289111928,304815.9432658083,SO X5
-72.0825,Oil,133.6953449,CT,Oil,6,Existing,41.362778,Existing Oil 149,478.40000000000003,10841.999999999953,791748.4854272987,SO X5
-72.064935,Oil,145.0566647,CT,Oil,6,Existing,41.52679,Existing Oil 14,1634.2908880549626,32514.725484671646,2726246.3797406163,SO X5
-72.055357,Oil,133.6953449,VT,Oil,3,Existing,44.887379,Existing Oil 55,246.39999999999998,4885.9999999999745,368999.9890440441,SO X5
-72.041829,Oil,242.6216617,CT,Oil,6,Existing,41.555425,Existing Oil 5,1635.3993738232011,35297.830932264165,4789289.875663501,SO X5
-72.0411,Oil,133.6953449,CT,Oil,6,Existing,41.3469,Existing Oil 155,478.40000000000003,10841.999999999953,791748.4854272987,SO X5
-72.02,Oil,133.6953449,CT,Oil,6,Existing,41.3367,Existing Oil 151,478.40000000000003,10841.999999999953,791748.4854272987,SO X5
-71.9825,Oil,133.6953449,CT,Oil,6,Existing,41.6041,Existing Oil 152,239.20000000000002,5420.999999999976,395874.24271364935,SO X5
-71.87268,Oil,133.6953449,NH,Oil,2,Existing,42.971653,Existing Oil 113,178.5,4241.999999999982,301104.50497517845,SO X5
-71.7172,Oil,133.6953449,WCMA,Oil,4,Existing,42.2747,Existing Oil 60,1190.0,24219.99999999988,1830536.9488804704,SO X5
-71.6881,Oil,133.6953449,NH,Oil,2,Existing,43.7644,Existing Oil 116,237.58072825928102,5542.796630005857,395483.3334141955,SO X5
-71.576667,NG-CT,28.317600000000002,RI,Gas,7,New,41.671667,New NG-CT 7,86977.65865264149,14707618.040179795,164817037.30321583,SO X5
-71.56,Oil,133.6953449,SEMA,Oil,8,Existing,42.388611,Existing Oil 68,276.8,6919.9999999999745,761141.1185322959,SO X5
-71.494398,Oil,133.6953449,NH,Oil,2,Existing,44.595117,Existing Oil 43,1400.7570574301756,29743.10891485468,2204765.9581488553,SO X5
-71.4692,Coal,105.4654119,NH,Coal,2,Existing,43.1411,Existing Coal 44,337890.0244093272,63430582.46252086,3944960908.7269773,SO X5
-71.4692,Oil,105.4654119,NH,Oil,2,Existing,43.1411,Existing Oil 45,2489.297286048571,27326.486430242592,1915984.371558117,SO X5
-71.458415,Oil,133.6953449,RI,Oil,7,Existing,41.744973,Existing Oil 93,830.211079570895,20401.055397854394,1497378.830799588,SO X5
-71.446441,Oil,440.3672816,SEMA,Oil,8,Existing,42.140028,Existing Oil 23,8261.831009691561,217930.7336511714,53732432.56864275,SO X5
-71.436065,Oil,133.6953449,SEMA,Oil,8,Existing,42.297949,Existing Oil 182,138.0,4419.999999999987,322282.71857317694,SO X5
-71.3983,Oil,133.6953449,SEMA,Oil,8,Existing,42.2672,Existing Oil 18,2582.202770768774,74255.0138538428,5581975.728422115,SO X5
-71.361273,NG-CT,28.317600000000002,NEMA,Gas,5,New,42.498045,New NG-CT 5,208594.64244913775,36710935.90292426,411391407.8825416,SO X5
-71.308111,Oil,133.6953449,SEMA,Oil,8,Existing,42.293927,Existing Oil 120,200.1,6408.999999999981,467309.94193110656,SO X5
-71.2069,Oil,133.6953449,NH,Oil,2,Existing,43.8478,Existing Oil 48,1409.099651970651,25366.49825985311,1989517.217542251,SO X5
-71.1931,Coal,60.37583423,SEMA,Coal,8,Existing,41.7103,Existing Coal 29,829161.1006997888,160072614.85934216,5717174875.666429,SO X5
-71.1931,Oil,133.6953449,SEMA,Oil,8,Existing,41.7103,Existing Oil 30,21355.53174216185,542495.0703310091,35553956.12096892,SO X5
-71.0559,Oil,133.6953449,SEMA,Oil,8,Existing,42.3436,Existing Oil 105,138.0,4419.999999999987,322282.71857317694,SO X5
-71.031407,Oil,535.74911,SEMA,Oil,8,Existing,42.339387,Existing Oil 73,3851.3415105101444,113824.20769993958,34068191.020751536,SO X5
-70.9672,Oil,34.13986798,SEMA,Oil,8,Existing,42.235,Existing Oil 37,186.3,5966.999999999984,111100.5831051719,SO X5
-70.962778,Oil,133.6953449,SEMA,Oil,8,Existing,42.353333,Existing Oil 82,3048.147139933042,90120.73569966493,6773449.881772206,SO X5
-70.8697,Oil,133.6953449,SEMA,Oil,8,Existing,42.6986,Existing Oil 40,165.6,5303.9999999999845,386739.2622878124,SO X5
-70.8583,Oil,133.6953449,SEMA,Oil,8,Existing,42.5131,Existing Oil 63,372.6,11933.999999999967,870163.3401475779,SO X5
-70.790833,Oil,13.74748878,NH,Oil,2,Existing,43.1,Existing Oil 67,23617.838416184735,341654.0167991308,2582612.7602742054,SO X5
-70.7842,Coal,20.39510344,NH,Coal,2,Existing,43.0978,Existing Coal 46,74510.74926607085,13812600.677098641,166060825.69478244,SO X5
-70.7842,Oil,20.39510344,NH,Oil,2,Existing,43.0978,Existing Oil 47,1542.699305548656,27342.828507080445,333065.7349363918,SO X5
-70.780095,NG-CT,28.317600000000002,SEMA,Gas,8,New,41.850783,New NG-CT 8,68410.63256174544,11767512.219125642,131869517.89794843,SO X5
-70.620089,Oil,133.6953449,SEMA,Oil,8,Existing,41.392486,Existing Oil 57,372.6,11933.999999999967,870163.3401475779,SO X5
-70.608273,Oil,133.6953449,SEMA,Oil,8,Existing,41.425786,Existing Oil 26,551.6612904193938,17864.806452096916,1303330.0896665787,SO X5
-70.5097,Oil,7.809595005,SEMA,Oil,8,Existing,41.7694,Existing Oil 27,35919.20154663778,843047.7843500589,3051681.3069115086,SO X5
-70.2544,Oil,133.6953449,ME,Oil,1,Existing,43.6436,Existing Oil 16,2381.15154935276,31430.233175571564,2689251.190293807,SO X5
-70.1567,Oil,44.16033273,ME,Oil,1,Existing,43.7508,Existing Oil 17,32070.98058503395,393811.4419909152,7992554.467589386,SO X5
-69.2019,Oil,133.6953449,ME,Oil,1,Existing,44.3331,Existing Oil 90,170.0,4039.9999999999823,286766.19521445566,SO X5
-67.0033,Oil,133.6953449,ME,Oil,1,Existing,44.9136,Existing Oil 15,169.99999999999432,4039.9999999998154,286766.1952144437,SO X5
