index,from_node,to_node,r,x,b,s_max,From Zone,To Zone,Distance (miles),Resistance (ohms),Reactance (ohms),Line Type
32,7,12,0.000351415,0.000532809,1876.843532,0,PJM_SMAC,OCN2,129.9788588,41.82719675,63.41764668,Submarine
33,7,13,0.000319139,0.000586695,1704.46417,0,PJM_SMAC,SKPJK1,118.0409042,37.98556298,69.83133004,Submarine
34,7,14,0.000318332,0.000588182,1700.154785,0,PJM_SMAC,SKPJK2,117.7424622,37.88952434,70.00833162,Submarine
35,7,15,0.000332934,0.000562386,1778.137719,0,PJM_SMAC,MRWN,123.1430897,39.62744626,66.93800977,Submarine
36,7,16,0.000328571,0.000569854,1754.835925,0,PJM_SMAC,MMTM,121.529348,39.10814419,67.82685397,Submarine
37,7,17,0.00045302,0.000413309,2419.49707,0,PJM_SMAC,CVOW,167.5597686,53.92073352,49.19410794,Submarine
38,10,11,2.22E-05,0.008438027,118.5111221,0,ATLSHR,OCN1,8.207365261,2.641130141,1004.336115,Submarine
39,10,12,3.94E-05,0.004754142,210.3429045,0,ATLSHR,OCN2,14.56708042,4.687686479,565.8617309,Submarine
40,10,13,0.000124293,0.001506414,663.8281839,0,ATLSHR,SKPJK1,45.97273468,14.79402602,179.3009138,Submarine
41,10,14,0.000121281,0.001543834,647.7379458,0,ATLSHR,SKPJK2,44.85842188,14.43544016,183.7548669,Submarine
42,10,15,0.00019424,0.000963948,1037.400039,0,ATLSHR,MRWN,71.84406735,23.11942087,114.7339459,Submarine
43,10,16,0.000178359,0.001049776,952.5843679,0,ATLSHR,MMTM,65.97024572,21.22922507,124.9495625,Submarine
44,10,17,0.0004443,0.000421421,2372.926037,0,ATLSHR,CVOW,164.3345398,52.88285491,50.15959122,Submarine
45,11,12,1.88E-05,0.009947916,100.5235645,0,OCN1,OCN2,6.961655552,2.240260757,1184.05073,Submarine
46,11,13,0.000102201,0.001832052,545.8360508,0,OCN1,SKPJK1,37.80131147,12.16446203,218.0599831,Submarine
47,11,14,9.92E-05,0.001888392,529.5510598,0,OCN1,SKPJK2,36.67351125,11.80153592,224.7658612,Submarine
48,11,15,0.000172896,0.001082947,923.4060749,0,OCN1,MRWN,63.9495332,20.57895978,128.8977875,Submarine
49,11,16,0.000156862,0.001193644,837.7706459,0,OCN1,MMTM,58.01894009,18.67049492,142.0734906,Submarine
50,11,17,0.000423639,0.000441973,2262.579147,0,OCN1,CVOW,156.6925801,50.42367226,52.60589453,Submarine
51,12,13,8.82E-05,0.002122075,471.2368,0,OCN2,SKPJK1,32.63501747,10.50194862,252.5800192,Submarine
52,12,14,8.49E-05,0.002204772,453.5615847,0,OCN2,SKPJK2,31.41093871,10.10804008,262.4230182,Submarine
53,12,15,0.000161268,0.001161031,861.3031595,0,OCN2,MRWN,59.64865999,19.19493879,138.1917606,Submarine
54,12,16,0.000144898,0.001292202,773.8728278,0,OCN2,MMTM,53.59376275,17.24647285,153.8043406,Submarine
55,12,17,0.000412976,0.000453386,2205.627383,0,OCN2,CVOW,152.7484445,49.15444943,53.96423753,Submarine
56,13,14,3.74E-06,0.050130006,19.94813245,0,SKPJK1,SKPJK2,1.381487292,0.444562611,5966.723968,Submarine
57,13,15,7.51E-05,0.002493449,401.0508967,0,SKPJK1,MRWN,27.77436529,8.93779075,296.7827799,Submarine
58,13,16,5.85E-05,0.003202266,312.2788678,0,SKPJK1,MMTM,21.62655019,6.959423852,381.1497103,Submarine
59,13,17,0.000326623,0.000573251,1744.435522,0,SKPJK1,CVOW,120.8090789,38.87636157,68.23124072,Submarine
60,14,15,7.88E-05,0.002376562,420.7759824,0,SKPJK2,MRWN,29.14040571,9.377382557,282.8702326,Submarine
61,14,16,6.22E-05,0.003011933,332.012752,0,SKPJK2,MMTM,22.99319994,7.399211741,358.4952665,Submarine
62,14,17,0.000330253,0.000566951,1763.822175,0,SKPJK2,CVOW,122.1516815,39.30841111,67.48129243,Submarine
63,15,16,1.66E-05,0.011264432,88.77500603,0,MRWN,MMTM,6.148021277,1.978433247,1340.748994,Submarine
64,15,17,0.00025189,0.000743329,1345.299778,0,MRWN,CVOW,93.16734548,29.98125178,88.47470428,Submarine
65,16,17,0.000268428,0.000697533,1433.623502,0,MMTM,CVOW,99.28411369,31.94962779,83.02389006,Submarine
