,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW
325,5365.245601,7092.926113,10428.85716,11344.77125,14211.75169,1998.010448,6517.127217,6096.501771,20783.42492,0,0,0,0,0,0,0,0
325,5341.837703,7032.634502,10571.39925,11287.39979,14506.15472,1979.458414,6513.920969,6043.717573,20659.48602,0,0,0,0,0,0,0,0
325,5349.656879,7151.186411,10730.98559,11429.62898,14854.40678,1990.019015,6590.937769,6095.977904,20748.96346,0,0,0,0,0,0,0,0
325,5483.915129,7353.138709,10863.21184,11860.7223,15788.85177,2049.699405,6871.184937,6326.262674,21405.14533,0,0,0,0,0,0,0,0
325,5837.875912,7869.996087,11074.51967,12663.10606,16800.43208,2147.200073,7361.359092,6681.323788,22834.43436,0,0,0,0,0,0,0,0
325,5886.048121,7952.897736,11540.73511,12826.22391,16893.89725,2163.130187,7451.541208,6694.173272,23284.98623,0,0,0,0,0,0,0,0
325,5904.700245,7996.339307,11802.6393,12876.39508,16743.23319,2146.270452,7448.079997,6660.805097,23278.6221,0,0,0,0,0,0,0,0
325,5832.899256,7880.706825,11773.57905,12758.06716,16410.64814,2121.194451,7338.397077,6583.287082,23154.92124,0,0,0,0,0,0,0,0
325,5671.485744,7655.178118,11696.27649,12391.22314,15816.3302,2054.887769,7138.295368,6388.508502,22506.54176,0,0,0,0,0,0,0,0
325,5514.057621,7437.859518,11480.68871,11912.81597,15079.71992,1975.347902,6781.678368,6167.275376,21647.98606,0,0,0,0,0,0,0,0
325,5319.359669,7153.694844,11145.0034,11402.07497,14268.2474,1904.963531,6443.740516,5955.726365,20833.98696,0,0,0,0,0,0,0,0
325,5184.512624,6906.6652,10612.7812,11076.35768,13655.6597,1850.527761,6176.764865,5816.086059,20166.75788,0,0,0,0,0,0,0,0
325,5096.272403,6769.74545,10180.81044,10852.20176,13316.33334,1829.968643,6000.472181,5742.518467,19740.80445,0,0,0,0,0,0,0,0
325,5057.541614,6680.269915,9791.328136,10747.54366,13101.55018,1800.412113,5930.143397,5709.293528,19507.36309,0,0,0,0,0,0,0,0
322,5607.128989,7002.052971,9491.060374,12091.79545,14708.87401,1954.069666,6607.519875,6343.910831,21428.51187,0,0,0,0,0,0,0,0
322,5693.641139,7007.167424,9318.515417,12343.74282,14932.65963,1949.539178,6798.490438,6430.021009,21781.69282,0,0,0,0,0,0,0,0
322,5802.757485,7092.501356,9232.539388,12756.86499,15372.61193,1988.783584,7099.045079,6605.361406,21358.68791,0,0,0,0,0,0,0,0
322,5952.389224,7306.780316,9280.070501,13303.08536,15969.1657,2050.781994,7480.54125,6897.700295,23305.31098,0,0,0,0,0,0,0,0
