latitude,tech,unit,node,ave_marg_damages_isrm_LePeule,fuel,status,zone,longitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
41.7103,Coal,Existing Coal 29,8,60.37583423,Coal,Existing,SEMA,-71.1931,9732.470694922835,48662.353474613104,1241317.5207352082,MO EM190 X5
41.7103,Oil,Existing Oil 30,8,133.6953449,Oil,Existing,SEMA,-71.1931,564.310986994556,2821.5549349727175,149282.22996868292,MO EM190 X5
41.744973,Oil,Existing Oil 93,7,133.6953449,Oil,Existing,RI,-71.458415,100.48563249856352,502.4281624928065,26582.36264207954,MO EM190 X5
41.7694,Oil,Existing Oil 27,8,7.809595005,Oil,Existing,SEMA,-70.5097,56421.909101037156,282109.54550517956,1144845.4264688927,MO EM190 X5
41.776109,Oil,Existing Oil 10,6,339.9972675,Oil,Existing,CT,-73.120886,174.4,871.9999999999809,117326.26064516522,MO EM190 X5
41.798943,Oil,Existing Oil 6,6,206.9482785,Oil,Existing,CT,-73.116267,174.4,871.9999999999809,71413.71412156787,MO EM190 X5
42.1483,Oil,Existing Oil 66,4,133.6953449,Oil,Existing,WCMA,-72.5911,162.0,809.9999999999823,46407.34762761577,MO EM190 X5
42.1978,Oil,Existing Oil 58,4,220.9678966,Oil,Existing,WCMA,-72.5106,5880.6,29402.99999999936,2571130.636298053,MO EM190 X5
42.235,Oil,Existing Oil 37,8,34.13986798,Oil,Existing,SEMA,-70.9672,78.30000000000001,391.4999999999914,6481.413149937599,MO EM190 X5
42.2672,Oil,Existing Oil 18,8,133.6953449,Oil,Existing,SEMA,-71.3983,255.59999999999457,1277.9999999999445,67616.15290039116,MO EM190 X5
42.2747,Oil,Existing Oil 60,4,133.6953449,Oil,Existing,WCMA,-71.7172,280.0,1399.9999999999693,80210.23046748404,MO EM190 X5
42.293927,Oil,Existing Oil 120,8,133.6953449,Oil,Existing,SEMA,-71.308111,17.4,86.99999999999808,4602.977544862407,MO EM190 X5
42.297949,Oil,Existing Oil 182,8,133.6953449,Oil,Existing,SEMA,-71.436065,12.0,59.99999999999868,3174.4672723189015,MO EM190 X5
42.336215,Oil,Existing Oil 35,4,46.07783098,Oil,Existing,WCMA,-73.235486,612.0,3059.9999999999327,67440.71106858464,MO EM190 X5
42.3436,Oil,Existing Oil 105,8,133.6953449,Oil,Existing,SEMA,-71.0559,12.0,59.99999999999868,3174.4672723189015,MO EM190 X5
42.353333,Oil,Existing Oil 82,8,133.6953449,Oil,Existing,SEMA,-70.962778,312.0,1559.9999999999654,82536.14908029143,MO EM190 X5
42.4433,Oil,Existing Oil 31,4,92.97915266,Oil,Existing,WCMA,-73.2058,464.19999999999914,2320.9999999999445,93981.13383686871,MO EM190 X5
42.5131,Oil,Existing Oil 63,8,133.6953449,Oil,Existing,SEMA,-70.8583,32.400000000000006,161.99999999999645,8571.061635261034,MO EM190 X5
42.6986,Oil,Existing Oil 40,8,133.6953449,Oil,Existing,SEMA,-70.8697,14.399999999999999,71.99999999999841,3809.3607267826815,MO EM190 X5
42.971653,Oil,Existing Oil 113,2,133.6953449,Oil,Existing,NH,-71.87268,46.2,230.9999999999949,13449.564487769703,MO EM190 X5
43.0978,Coal,Existing Coal 46,2,20.39510344,Coal,Existing,NH,-70.7842,3299.999999999997,16499.99999999962,160663.8987790715,MO EM190 X5
43.0978,Oil,Existing Oil 47,2,20.39510344,Oil,Existing,NH,-70.7842,975.1999999999945,4875.999999999865,54955.59287554521,MO EM190 X5
43.1,Oil,Existing Oil 67,2,13.74748878,Oil,Existing,NH,-70.790833,24359.557891520955,121797.7894576021,890805.9357528122,MO EM190 X5
43.1411,Coal,Existing Coal 44,2,105.4654119,Coal,Existing,NH,-71.4692,8953.33149100462,44766.65745502211,2004365.1939298469,MO EM190 X5
43.1411,Oil,Existing Oil 45,2,105.4654119,Oil,Existing,NH,-71.4692,818.4000000000001,4091.9999999999104,187942.77455985823,MO EM190 X5
43.4011,Oil,Existing Oil 50,3,133.6953449,Oil,Existing,VT,-72.4203,290.4,1451.9999999999682,84540.11963740956,MO EM190 X5
43.603,Oil,Existing Oil 51,3,133.6953449,Oil,Existing,VT,-72.9923,290.4,1451.9999999999682,84540.11963740956,MO EM190 X5
43.6436,Oil,Existing Oil 16,1,133.6953449,Oil,Existing,ME,-70.2544,770.0,3849.9999999999154,224159.40812949507,MO EM190 X5
43.701916,Oil,Existing Oil 112,2,133.6953449,Oil,Existing,NH,-72.286735,154.0,769.9999999999832,44831.88162589901,MO EM190 X5
43.7089,Oil,Existing Oil 65,3,133.6953449,Oil,Existing,VT,-73.0631,202.39999999999998,1011.9999999999776,58921.90156546726,MO EM190 X5
43.7508,Oil,Existing Oil 17,1,44.16033273,Oil,Existing,ME,-70.1567,25875.437144340347,129377.1857216989,2705415.6560505196,MO EM190 X5
43.7644,Oil,Existing Oil 116,2,133.6953449,Oil,Existing,NH,-71.6881,61.599999999999994,307.9999999999932,17932.752650359602,MO EM190 X5
43.8478,Oil,Existing Oil 48,2,133.6953449,Oil,Existing,NH,-71.2069,409.20000000000005,2045.9999999999552,119124.71403453167,MO EM190 X5
44.251,Oil,Existing Oil 52,3,133.6953449,Oil,Existing,VT,-72.6027,878.1519865379959,4390.7599326898835,253716.44477652042,MO EM190 X5
44.3331,Oil,Existing Oil 90,1,133.6953449,Oil,Existing,ME,-69.2019,44.0,219.99999999999517,12809.109035971145,MO EM190 X5
44.4814,Oil,Existing Oil 56,3,133.6953449,Oil,Existing,VT,-73.2239,561.0,2804.999999999938,163316.1402086321,MO EM190 X5
44.4821,Oil,Existing Oil 54,3,133.6953449,Oil,Existing,VT,-73.1164,176.0,879.9999999999807,51236.43614388458,MO EM190 X5
44.4906,Oil,Existing Oil 53,3,133.6953449,Oil,Existing,VT,-73.1703,396.0,1979.9999999999566,115281.98132374033,MO EM190 X5
44.595117,Oil,Existing Oil 43,2,133.6953449,Oil,Existing,NH,-71.494398,395.9999999999909,1979.999999999911,115281.98132373758,MO EM190 X5
44.887379,Oil,Existing Oil 55,3,133.6953449,Oil,Existing,VT,-72.055357,61.599999999999994,307.9999999999932,17932.752650359602,MO EM190 X5
44.9136,Oil,Existing Oil 15,1,133.6953449,Oil,Existing,ME,-67.0033,43.999999999998636,219.99999999998835,12809.10903597075,MO EM190 X5
