tech,fuel,unit,ave_marg_damages_isrm_LePeule,zone,node,latitude,longitude,status,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
NG-CC,Gas,Existing NG-CC 1030,8.122713767,PJM_West,9,38.57278,-82.785,Existing,6771.0,1819019.9999999993,12155740.70182554,SO
NG-CC,Gas,Existing NG-CC 1031,9.206402713,PJM_West,9,38.57292,-82.78486,Existing,45460.84219371021,13313756.168433262,76636549.49124247,SO
NG-CC,Gas,Existing NG-CC 1032,6.782863554,PJM_West,9,38.57444,-82.78361,Existing,7148.3333332,1893099.9999159991,10564025.47786787,SO
NG-CC,Gas,Existing NG-CC 1033,6.699543491,PJM_West,9,38.57417,-82.78389,Existing,6696.0,1655399.9999999993,9124119.51398966,SO
NG-CC,Gas,Existing NG-CC 1034,6.741203522,PJM_West,9,38.574305,-82.78375,Existing,45529.53964857124,13084876.02061679,55041961.41288891,SO
NG-CC,Gas,Existing NG-CC 1035,7.859726755,PJM_EMAC,5,39.806687,-75.422206,Existing,10306.298833707346,2982591.9175449894,19286085.52492026,SO
NG-CC,Gas,Existing NG-CC 1036,8.166343395,PJM_EMAC,5,39.806687,-75.422206,Existing,10887.667368748302,3042627.442311429,20441803.994809303,SO
NG-CC,Gas,Existing NG-CC 1037,8.29786429,PJM_EMAC,5,39.806687,-75.422206,Existing,10306.298833707346,2982591.91754499,20361181.165657673,SO
NG-CC,Gas,Existing NG-CC 1038,8.107978147,PJM_EMAC,5,39.806687,-75.422206,Existing,38776.432539255606,11441363.489327835,66930316.41036067,SO
NG-CC,Gas,Existing NG-CC 1042,1.316939942,PJM_AP,1,38.97014,-78.17795,Existing,60671.0338289394,19101475.41411969,15974959.464773383,SO
NG-CC,Gas,Existing NG-CC 1043,0.975389303,PJM_AP,1,38.97014,-78.17795,Existing,60671.0338289394,19101475.41411969,11831826.251799235,SO
NG-CC,Gas,Existing NG-CC 1044,1.269545686,PJM_AP,1,38.97014,-78.17795,Existing,60671.0338289394,19101475.41411969,15400049.938289378,SO
NG-CC,Gas,Existing NG-CC 1045,1.187291644,PJM_AP,1,38.97014,-78.17795,Existing,111373.67294374727,32985297.50327954,23898309.29735797,SO
NG-CC,Gas,Existing NG-CC 1050,10.20320074,PJM_WMAC,8,39.86916,-77.16722,Existing,11980.527076624747,3788633.6645199177,31802543.022233352,SO
NG-CC,Gas,Existing NG-CC 1051,9.051536797,PJM_WMAC,8,39.8729,-77.1668,Existing,11980.527076624747,3788633.6645199177,28212900.612197578,SO
NG-CC,Gas,Existing NG-CC 1052,10.33820225,PJM_WMAC,8,39.8729,-77.1668,Existing,11980.527076624747,3788633.6645199177,32223331.698183823,SO
NG-CC,Gas,Existing NG-CC 1053,9.864313262,PJM_WMAC,8,39.87165333,-77.16694,Existing,70658.46622489751,23030931.614082012,147369886.39823976,SO
NG-CC,Gas,Existing NG-CC 1110,1.148221329,PJM_Dom,4,37.6961,-78.2848,Existing,27672.606095432686,8928548.091362342,7513642.260846113,SO
