tech,zone,longitude,status,unit,ave_marg_damages_isrm_LePeule,fuel,node,latitude,Generation (MWh) Unadjusted,Generation (MWh),aq_costs,Specification
NG-CC,PJM_EMAC,-76.30826,Existing,Existing NG-CC 992,26.96637334,Gas,5,39.73872,15860.0,2925559.9999999995,57583492.390004486,MO OPOI X5
NG-CC,PJM_EMAC,-76.30826,Existing,Existing NG-CC 993,31.14855732,Gas,5,39.73872,15738.0,2887129.9999999995,65529243.32884176,MO OPOI X5
NG-CC,PJM_EMAC,-76.30826,Existing,Existing NG-CC 994,29.85848294,Gas,5,39.73872,44758.93547020049,7802315.140391635,143674760.69520098,MO OPOI X5
NG-CC,PJM_EMAC,-75.506389,Existing,Existing NG-CC 457,10.12751862,Gas,5,39.74564767,39571.73852792653,5648908.692639627,41905926.88437937,MO OPOI X5
NG-CC,PJM_EMAC,-75.50444433,Existing,Existing NG-CC 453,18.39028323,Gas,5,39.74564767,10524.404449009964,2208732.0222450495,33417522.508220024,MO OPOI X5
NG-CC,PJM_EMAC,-75.49942,Existing,Existing NG-CC 1121,1.480886124,Gas,5,39.18717,79448.52820118511,12532199.001377774,11990789.674065653,MO OPOI X5
NG-CC,PJM_EMAC,-75.49942,Existing,Existing NG-CC 1122,1.480886124,Gas,5,39.18717,62863.21159276303,9752106.057963809,8673024.191611707,MO OPOI X5
NG-CC,PJM_EMAC,-75.422206,Existing,Existing NG-CC 1035,7.859726755,Gas,5,39.806687,19156.858035411373,2773673.1204463546,17935171.320095267,MO OPOI X5
NG-CC,PJM_EMAC,-75.422206,Existing,Existing NG-CC 1036,8.166343395,Gas,5,39.806687,19548.899999999998,2779780.4999999986,18675874.45619863,MO OPOI X5
NG-CC,PJM_EMAC,-75.422206,Existing,Existing NG-CC 1037,8.29786429,Gas,5,39.806687,18830.808192409244,2677834.040962045,18280698.649674032,MO OPOI X5
NG-CC,PJM_EMAC,-75.422206,Existing,Existing NG-CC 1038,8.107978147,Gas,5,39.806687,64997.46976921295,9184527.348846061,54549803.04951854,MO OPOI X5
NG-CC,PJM_EMAC,-75.33577,Existing,Existing NG-CC 843,17.93124232,Gas,5,39.86248,9807.8,1998761.9999999998,29485891.793652095,MO OPOI X5
NG-CC,PJM_EMAC,-75.33577,Existing,Existing NG-CC 844,18.15903418,Gas,5,39.86248,9638.699999999999,1997916.4999999998,29847838.307936266,MO OPOI X5
NG-CC,PJM_EMAC,-75.33577,Existing,Existing NG-CC 845,18.04513825,Gas,5,39.86248,30936.678892095613,5445315.394460477,71840608.00045322,MO OPOI X5
NG-CC,PJM_EMAC,-75.220256,Existing,Existing NG-CC 1118,12.59769993,Gas,5,39.841001,64713.28604826252,9253009.76353331,75837306.40406387,MO OPOI X5
NG-CC,PJM_EMAC,-75.220256,Existing,Existing NG-CC 1119,12.56593167,Gas,5,39.841001,65886.10172719877,9258873.84192799,75697197.49702494,MO OPOI X5
NG-CC,PJM_EMAC,-75.118141,Existing,Existing NG-CC 633,40.42742977,Gas,5,39.918222,2981.887108809876,660584.6970989133,21970879.581329208,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 928,6.3125208,Gas,5,40.14695,20602.8197825472,2895594.098912735,15037765.52176831,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 929,6.419729684,Gas,5,40.14695,21392.0,3021619.9999999986,15958769.12008315,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 930,6.360245321,Gas,5,40.14695,22176.0,3132359.9999999986,16390354.25254913,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 931,6.508559264,Gas,5,40.14695,21650.476210981455,3129732.381054906,16758489.462769676,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 932,6.366125242,Gas,5,40.14695,94474.59015042525,14213452.950752104,57533019.33391151,MO OPOI X5
NG-CC,PJM_EMAC,-74.74249,Existing,Existing NG-CC 933,6.434402293,Gas,5,40.14695,93992.47700638206,14143894.0258666,57921914.55527385,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 146,19.86409061,Gas,5,40.624411,52090.50985101801,8762934.673964908,113461665.33454783,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 147,19.85026591,Gas,5,40.624411,10168.2,2163567.0,35332916.02910389,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 148,19.8779153,Gas,5,40.624411,9979.900000000001,2162625.5,35366734.24313544,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 149,19.43511979,Gas,5,40.624411,53537.01150421512,8997893.057521071,113785528.86292602,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 150,19.3843234,Gas,5,40.624411,10356.5,2222881.5,35449471.26012482,MO OPOI X5
NG-CC,PJM_EMAC,-74.211871,Existing,Existing NG-CC 151,19.48591618,Gas,5,40.624411,10341.050988440827,2218015.06135886,35557246.6794114,MO OPOI X5
